family	variant_count	token_count	merged_entropy	weighted_split_entropy	split_minus_merged	variants
h	2	474	1.0000	0.5094	-0.4906	h:1:n277:H0.6812 h:2:n197:H0.2678
c	2	981	0.6889	0.6853	-0.0036	c:1:n924:H0.6976 c:2:n57:H0.4855
