macro_signature	count	share	examples
c:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	2	0.0031	p003-u178, p007-u038
e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1	2	0.0031	p003-u173, p007-u025
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	2	0.0031	p003-u041, p004-u006
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 j:1	2	0.0031	p004-u042, p004-u069
e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP d:1	2	0.0031	p003-u102, p005-u080
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	2	0.0031	p004-u012, p005-u040
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 h:1	2	0.0031	p005-u041, p094-u059
e:1 c:2 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	2	0.0031	p007-u014, p094-u069
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	2	0.0031	p004-u057, p004-u060
e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	2	0.0031	p003-u067, p003-u157
e:1 h:1 e:1 MEDIAL_OP e:1 e:1 c:1 f:1 MEDIAL_OP d:1	2	0.0031	p007-u006, p007-u102
e:1 MEDIAL_OP d:1 e:1 f:1 f:1 j:1	2	0.0031	p094-u006, p094-u047
e:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 h:1	2	0.0031	p094-u007, p094-u034
e:1 MEDIAL_OP d:1 e:1 h:1	2	0.0031	p003-u020, p003-u029
e:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1	2	0.0031	p005-u052, p006-u031
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	2	0.0031	p003-u196, p004-u040
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	2	0.0031	p004-u085, p006-u047
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	2	0.0031	p003-u112, p004-u090
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	2	0.0031	p003-u094, p006-u020
e:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP d:1	2	0.0031	p006-u013, p006-u016
e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 MEDIAL_OP d:1	2	0.0031	p007-u075, p007-u105
e:1 MEDIAL_OP e:1 c:1 f:1 MEDIAL_OP c:1 h:1	2	0.0031	p007-u032, p007-u071
e:1 MEDIAL_OP e:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 h:1	2	0.0031	p005-u098, p094-u049
e:1 MEDIAL_OP e:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	2	0.0031	p005-u104, p006-u021
e:1 MEDIAL_OP e:1 e:1 c:1 h:2 e:1 h:1	2	0.0031	p003-u095, p094-u064
e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP c:1 h:1	2	0.0031	p007-u019, p007-u020
n:1 e:1 MEDIAL_OP e:1 c:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	2	0.0031	p003-u072, p004-u039
a:1 e:1 MEDIAL_OP c:1 a:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0016	p003-u066
a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0016	p003-u120
a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 c:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 h:1	1	0.0016	p004-u031
a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u172
a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p005-u006
a:1 e:1 MEDIAL_OP c:1 a:1 n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p003-u152
a:1 MEDIAL_OP c:1	1	0.0016	p004-u051
a:1 MEDIAL_OP c:1 a:1 c:1 a:1 MEDIAL_OP c:1 a:1	1	0.0016	p004-u021
a:1 MEDIAL_OP c:1 a:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p003-u181
a:1 MEDIAL_OP c:1 a:1 c:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p004-u084
a:1 MEDIAL_OP c:1 a:1 c:1 c:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p006-u001
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2	1	0.0016	p003-u099
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p003-u086
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 h:1 e:1 c:1 h:2	1	0.0016	p003-u183
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 n:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0016	p003-u130
a:1 MEDIAL_OP c:1 a:1 c:1 e:1 MEDIAL_OP d:1	1	0.0016	p003-u059
a:1 MEDIAL_OP c:1 a:1 c:1 f:1 MEDIAL_OP d:1	1	0.0016	p003-u108
a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p004-u017
a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p003-u186
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p094-u072
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p094-u025
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0016	p094-u066
a:1 MEDIAL_OP c:1 a:1 e:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0016	p004-u065
a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p003-u163
a:1 MEDIAL_OP c:1 a:1 e:1 h:1 e:1	1	0.0016	p005-u075
a:1 MEDIAL_OP c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0016	p005-u048
a:1 MEDIAL_OP c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0016	p005-u001
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP a:1 c:2 e:1 h:1	1	0.0016	p007-u092
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0016	p094-u021
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 e:1 e:1 e:1 h:1	1	0.0016	p006-u048
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0016	p005-u015
a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 c:1 e:1 e:1 e:1 e:1 MEDIAL_OP d:1	1	0.0016	p006-u011
