unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u176	page-003.jpg	img3-m178	22	176	e:1 h:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	9	536	2775	159	52
p003-u177	page-003.jpg	img3-m180	22	177	c:1 a:1 b:1 c:1 a:1 e:1 e:1 e:1	8	728	2735	139	81
p003-u178	page-003.jpg	img3-m181	22	178	c:1 a:1 b:1 c:1 a:1 e:1 h:1	7	935	2730	90	109
p003-u179	page-003.jpg	img3-m177	22	179	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	1059	2756	136	56
p003-u180	page-003.jpg	img3-m182	22	180	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	11	1246	2740	199	114
p003-u181	page-003.jpg	img3-m176	22	181	a:1 b:1 c:1 a:1 c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	15	1479	2753	236	98
p003-u182	page-003.jpg	img3-m185	22	182	c:1 e:1 g:1 e:1 c:1 f:1 j:1	7	1754	2825	204	38
p003-u183	page-003.jpg	img3-m179	22	183	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2	16	1995	2781	241	86
p003-u184	page-003.jpg	img3-m186	23	184	e:1 c:1 h:2 e:1 g:1 e:1 e:1 c:1	8	536	2838	134	53
p003-u185	page-003.jpg	img3-m189	23	185	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	10	720	2841	181	89
p003-u186	page-003.jpg	img3-m183	23	186	a:1 b:1 c:1 a:1 c:2 g:1 e:1 n:1 e:1 g:1 e:1 e:1 h:1	13	954	2822	167	106
p003-u187	page-003.jpg	img3-m184	23	187	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	9	1176	2822	133	115
p003-u188	page-003.jpg	img3-m190	23	188	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	11	1371	2850	217	100
p003-u189	page-003.jpg	img3-m187	23	189	a:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1	8	1627	2856	128	108
p003-u190	page-003.jpg	img3-m188	23	190	a:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1	8	1791	2870	125	101
p003-u191	page-003.jpg	img3-m191	23	191	e:1 c:1 h:2 e:1 f:1 f:1 j:1	7	1944	2908	99	51
p003-u192	page-003.jpg	img3-m192	23	192	n:1 e:1 g:1 e:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	13	2084	2875	195	83
p003-u193	page-003.jpg	img3-m193	24	193	e:1 g:1 e:1 c:1	4	537	2935	104	27
p003-u194	page-003.jpg	img3-m194	24	194	e:1 g:1 e:1 c:1 f:1 j:1	6	727	2951	129	35
p003-u195	page-003.jpg	img3-m195	24	195	e:1 g:1 e:1 c:1 a:1 c:1	6	903	2913	150	68
p003-u196	page-003.jpg	img3-m196	24	196	e:1 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 h:1	10	1080	2916	174	103
p003-u197	page-003.jpg	img3-m197	24	197	e:1 g:1 e:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 h:1	12	1310	2928	184	100
p003-u198	page-003.jpg	img3-m198	24	198	e:1 c:1 h:2 c:2 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	12	2000	2986	200	62
p004-u001	page-004.jpg	img4-m1	1	1	a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 i:1 d:1 e:1 h:1	12	595	1808	138	147
p004-u002	page-004.jpg	img4-m2	1	2	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	13	776	1904	244	58
p004-u003	page-004.jpg	img4-m3	1	3	c:1 f:1 j:1	3	1045	1932	48	36
p004-u004	page-004.jpg	img4-m5	1	4	c:1 f:1 j:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	14	1787	1889	227	149
p004-u005	page-004.jpg	img4-m10	1	5	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	8	2054	1973	140	56
p004-u006	page-004.jpg	img4-m4	1	6	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	14	2202	1940	193	104
p004-u007	page-004.jpg	img4-m11	1	7	e:1 f:1 f:1 i:1 c:1 h:1	6	2421	1992	75	79
p004-u008	page-004.jpg	img4-m6	2	8	e:1 h:1 a:1 m:1 c:1 a:1 e:1 e:1 c:1	9	571	1935	154	96
p004-u009	page-004.jpg	img4-m7	2	9	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	8	767	1969	132	45
p004-u010	page-004.jpg	img4-m8	2	10	c:1 f:1 i:1 d:1	4	925	1980	60	40
p004-u011	page-004.jpg	img4-m9	2	11	c:1 e:1 g:1 e:1 e:1 h:1	6	1007	1998	124	43
p004-u012	page-004.jpg	img4-m14	2	12	e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1	9	1723	2030	159	51
p004-u013	page-004.jpg	img4-m12	2	13	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	10	1905	2020	141	96
p004-u014	page-004.jpg	img4-m16	2	14	c:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	14	2079	2035	185	73
p004-u015	page-004.jpg	img4-m18	2	15	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	9	2297	2078	150	56
p004-u016	page-004.jpg	img4-m15	3	16	e:1 c:1 h:2 c:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	13	567	2014	179	89
p004-u017	page-004.jpg	img4-m13	3	17	a:1 b:1 c:1 a:1 c:2 g:1 e:1 c:1 a:1 b:1 c:1 a:1 c:2 g:1 e:1 e:1 h:1	17	797	2024	241	80
p004-u018	page-004.jpg	img4-m17	3	18	n:1 e:1 g:1 e:1 e:1 h:1	6	1083	2046	86	73
p004-u019	page-004.jpg	img4-m21	3	19	e:1 c:1 h:2 a:1 b:1 c:1 a:1 n:1 c:2 g:1 e:1 e:1 e:1 e:1 h:1	15	1625	2070	211	103
p004-u020	page-004.jpg	img4-m19	3	20	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	9	1882	2092	126	85
p004-u021	page-004.jpg	img4-m20	3	21	a:1 b:1 c:1 a:1 c:1 a:1 m:1 c:1 a:1	9	2048	2103	143	73
p004-u022	page-004.jpg	img4-m28	3	22	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	9	2187	2150	139	58
p004-u023	page-004.jpg	img4-m26	3	23	e:1 c:1 h:2 e:1 f:1 f:1 j:1	7	2361	2149	86	49
p004-u024	page-004.jpg	img4-m22	4	24	e:1 c:1 h:2 c:1 f:1 j:1	6	565	2113	71	37
p004-u025	page-004.jpg	img4-m25	4	25	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 c:1	10	672	2084	170	73
p004-u026	page-004.jpg	img4-m23	4	26	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	896	2100	126	60
p004-u027	page-004.jpg	img4-m24	4	27	e:1 c:1 h:2 e:1 f:1 f:1 i:1 c:1 h:1	9	1046	2127	107	63
p004-u028	page-004.jpg	img4-m27	4	28	e:1 i:1 d:1 c:1 e:1 g:1 e:1 e:1 e:1 h:1	10	1573	2150	170	92
p004-u029	page-004.jpg	img4-m31	4	29	e:1 g:1 e:1 c:1	4	1784	2197	78	25
p004-u030	page-004.jpg	img4-m29	4	30	a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	10	1886	2163	129	85
p004-u031	page-004.jpg	img4-m30	5	31	a:1 e:1 b:1 c:1 a:1 b:1 d:1 c:1 a:1 m:1 c:1 a:1 c:1 e:1 h:1	15	529	2190	200	183
p004-u032	page-004.jpg	img4-m35	5	32	n:1 e:1 g:1 e:1 c:1 f:1 j:1	7	784	2311	125	66
p004-u033	page-004.jpg	img4-m34	5	33	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	953	2319	127	62
p004-u034	page-004.jpg	img4-m32	5	34	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 f:1 j:1	15	1118	2281	182	124
p004-u035	page-004.jpg	img4-m36	5	35	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1547	2356	93	56
p004-u036	page-004.jpg	img4-m38	5	36	e:1 g:1 e:1 e:1 e:1 h:1	6	1673	2398	112	45
p004-u037	page-004.jpg	img4-m33	5	37	a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	10	1814	2308	158	140
p004-u038	page-004.jpg	img4-m40	5	38	c:1 a:1 m:1 c:1 a:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	12	2016	2331	204	121
p004-u039	page-004.jpg	img4-m42	5	39	n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 e:1 h:1	11	2259	2392	193	73
p004-u040	page-004.jpg	img4-m39	6	40	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 h:1	10	557	2369	142	83
p004-u041	page-004.jpg	img4-m41	6	41	e:1 g:1 e:1 c:1 f:1 j:1	6	749	2418	114	34
p004-u042	page-004.jpg	img4-m37	6	42	e:1 a:1 m:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	10	910	2377	147	88
p004-u043	page-004.jpg	img4-m43	6	43	n:1 e:1 g:1 e:1 c:1 f:1 j:1	7	1084	2406	122	62
p004-u044	page-004.jpg	img4-m44	6	44	c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	9	1243	2403	135	86
p004-u045	page-004.jpg	img4-m45	6	45	e:1 c:1 h:2 c:1 f:1 j:1	6	1545	2447	99	46
p004-u046	page-004.jpg	img4-m47	6	46	e:1 g:1 e:1 e:1 e:1 h:1	6	1674	2472	116	45
p004-u047	page-004.jpg	img4-m51	6	47	e:1 g:1 e:1 c:1 e:1 c:1 h:2 c:1	8	1845	2461	153	48
p004-u048	page-004.jpg	img4-m53	6	48	f:1 j:1 c:1 f:1 j:1	5	2031	2489	98	41
p004-u049	page-004.jpg	img4-m55	6	49	e:1 g:1 e:1 e:1 h:1	5	2181	2502	93	52
p004-u050	page-004.jpg	img4-m46	6	50	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	10	2312	2455	150	86
p004-u051	page-004.jpg	img4-m49	7	51	a:1 m:1 c:1	3	557	2476	53	51
p004-u052	page-004.jpg	img4-m50	7	52	c:1 f:1 j:1	3	659	2482	48	34
p004-u053	page-004.jpg	img4-m54	7	53	e:1 g:1 e:1 c:1 e:1 e:1 e:1 i:1 d:1	9	733	2477	156	51
p004-u054	page-004.jpg	img4-m56	7	54	e:1 g:1 e:1 e:1 c:1 f:1 j:1	7	939	2505	153	34
p004-u055	page-004.jpg	img4-m52	7	55	e:1 c:1 h:2 c:1 f:1 j:1	6	1128	2489	90	51
p004-u056	page-004.jpg	img4-m48	7	56	e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	10	1260	2475	141	69
p004-u057	page-004.jpg	img4-m59	7	57	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	9	1533	2494	137	83
p004-u058	page-004.jpg	img4-m57	7	58	e:1 c:1 h:2 c:1 f:1 j:1	6	1713	2525	90	57
p004-u059	page-004.jpg	img4-m58	7	59	e:1 c:1 h:2 c:1 f:1 j:1 c:1	7	1844	2532	110	48
p004-u060	page-004.jpg	img4-m64	7	60	e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	9	2000	2524	136	74
p004-u061	page-004.jpg	img4-m63	7	61	e:1 c:1 h:2 c:1 f:1 j:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	15	2174	2555	287	52
p004-u062	page-004.jpg	img4-m65	8	62	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1	12	566	2514	193	92
p004-u063	page-004.jpg	img4-m66	8	63	c:1 f:1 j:1	3	765	2575	53	40
p004-u064	page-004.jpg	img4-m60	8	64	a:1 b:1 c:1 a:1 c:1 f:1 j:1	7	876	2540	98	86
p004-u065	page-004.jpg	img4-m61	8	65	a:1 b:1 c:1 a:1 e:1 e:1 g:1 e:1 e:1 h:1	10	1004	2543	158	84
p004-u066	page-004.jpg	img4-m68	8	66	e:1 g:1 e:1 c:1 f:1 j:1	6	1202	2591	112	34
p004-u067	page-004.jpg	img4-m62	8	67	a:1 b:1 c:1 a:1 e:1 h:1	6	1348	2546	63	96
p004-u068	page-004.jpg	img4-m69	8	68	e:1 g:1 e:1 c:1 f:1 j:1	6	1536	2612	120	34
p004-u069	page-004.jpg	img4-m67	8	69	e:1 a:1 m:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	10	1709	2584	160	74
p004-u070	page-004.jpg	img4-m71	8	70	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	9	1902	2611	163	54
p004-u071	page-004.jpg	img4-m72	8	71	e:1 g:1 e:1 c:1 f:1 j:1	6	2113	2637	114	34
p004-u072	page-004.jpg	img4-m70	8	72	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	2260	2627	144	50
p004-u073	page-004.jpg	img4-m73	9	73	n:1 e:1 g:1 e:1	4	570	2616	62	49
p004-u074	page-004.jpg	img4-m75	9	74	c:1 f:1 i:1 d:1	4	650	2624	59	49
p004-u075	page-004.jpg	img4-m76	9	75	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	8	774	2610	131	90
p004-u076	page-004.jpg	img4-m77	9	76	e:1 g:1 e:1 c:1 f:1 j:1	6	951	2662	126	34
p004-u077	page-004.jpg	img4-m74	9	77	e:1 c:1 h:2 c:1 f:1 j:1 a:1 b:1 c:1 a:1 e:1 h:1	12	1122	2627	180	90
p004-u078	page-004.jpg	img4-m78	9	78	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1339	2662	100	52
p004-u079	page-004.jpg	img4-m81	9	79	n:1 e:1 g:1 e:1 c:1 f:1 j:1	7	1528	2658	133	63
p004-u080	page-004.jpg	img4-m79	9	80	e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 i:1 d:1	10	1729	2671	156	56
p004-u081	page-004.jpg	img4-m83	9	81	c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1	10	1940	2660	166	85
p004-u082	page-004.jpg	img4-m82	9	82	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	2150	2694	105	48
p004-u083	page-004.jpg	img4-m84	9	83	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	10	2282	2697	167	64
p004-u084	page-004.jpg	img4-m80	10	84	a:1 m:1 c:1 a:1 c:1 c:1 f:1 i:1 d:1	9	561	2685	149	68
p004-u085	page-004.jpg	img4-m86	10	85	e:1 g:1 e:1 c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	14	756	2699	281	93
p004-u086	page-004.jpg	img4-m85	10	86	e:1 c:1 h:2 e:1 f:1 f:1 j:1	7	1093	2724	95	57
p004-u087	page-004.jpg	img4-m89	10	87	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	9	1238	2740	166	74
p004-u088	page-004.jpg	img4-m88	10	88	e:1 i:1 d:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	12	1546	2752	196	81
p004-u089	page-004.jpg	img4-m87	10	89	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 c:1 f:1 j:1	11	1754	2731	112	95
p004-u090	page-004.jpg	img4-m90	10	90	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	12	1901	2770	191	54
p005-u001	page-005.jpg	img5-m1	1	1	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1	17	446	444	218	141
p005-u002	page-005.jpg	img5-m3	1	2	e:1 h:1 a:1 m:1 c:1 a:1 b:1 d:1	8	701	446	87	126
p005-u003	page-005.jpg	img5-m7	1	3	e:1 g:1 e:1 c:1 f:1 j:1	6	765	518	106	34
p005-u004	page-005.jpg	img5-m5	1	4	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	898	503	114	42
p005-u005	page-005.jpg	img5-m6	1	5	c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 f:1 j:1	13	1051	463	175	86
p005-u006	page-005.jpg	img5-m4	1	6	a:1 e:1 b:1 c:1 a:1 b:1 d:1 e:1 h:1	9	1379	468	84	112
p005-u007	page-005.jpg	img5-m8	1	7	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	9	1434	528	159	38
p005-u008	page-005.jpg	img5-m2	1	8	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 i:1 d:1 e:1 h:1	15	1631	444	183	143
p005-u009	page-005.jpg	img5-m12	2	9	e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1	16	437	580	215	75
p005-u010	page-005.jpg	img5-m11	2	10	e:1 g:1 e:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 i:1 d:1 e:1 i:1 d:1	15	1039	563	181	58
p005-u011	page-005.jpg	img5-m13	2	11	n:1 e:1 g:1 e:1	4	1372	589	54	48
p005-u012	page-005.jpg	img5-m14	2	12	c:1 f:1 i:1 d:1	4	1438	600	47	44
p005-u013	page-005.jpg	img5-m10	2	13	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	10	1524	578	114	91
p005-u014	page-005.jpg	img5-m9	2	14	e:1 a:1 e:1 b:1 c:1 a:1 g:1 c:1	8	1677	576	77	63
p005-u015	page-005.jpg	img5-m19	3	15	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	14	430	651	208	106
p005-u016	page-005.jpg	img5-m15	3	16	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1 e:1 h:1	13	1059	640	172	87
p005-u017	page-005.jpg	img5-m16	3	17	e:1 g:1 e:1 c:1 f:1 i:1 d:1	7	1362	664	110	39
p005-u018	page-005.jpg	img5-m17	3	18	e:1 g:1 e:1 e:1 h:1	5	1502	682	79	50
p005-u019	page-005.jpg	img5-m18	3	19	e:1 h:1 e:1 c:1 h:2 e:1 h:1	7	1632	665	90	69
p005-u020	page-005.jpg	img5-m20	3	20	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	9	1878	673	174	43
p005-u021	page-005.jpg	img5-m25	4	21	n:1 e:1 g:1 c:1	4	436	741	49	53
p005-u022	page-005.jpg	img5-m24	4	22	e:1 f:1 l:1 f:1 e:1 c:1 h:2 e:1 h:1	9	502	747	121	73
p005-u023	page-005.jpg	img5-m23	4	23	e:1 g:1 e:1 a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 c:1 h:2 e:1 h:1	16	1020	717	221	95
p005-u024	page-005.jpg	img5-m21	4	24	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 h:1	11	1335	709	130	110
p005-u025	page-005.jpg	img5-m22	4	25	e:1 c:1 h:2 e:1 f:1 f:1 j:1 e:1 i:1 d:1	10	1502	747	127	55
p005-u026	page-005.jpg	img5-m26	4	26	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2	17	1779	741	295	62
p005-u027	page-005.jpg	img5-m31	5	27	c:1 a:1 m:1 c:1 a:1 c:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1	13	441	801	242	64
p005-u028	page-005.jpg	img5-m28	5	28	e:1 f:1 f:1 j:1	4	714	837	62	34
p005-u029	page-005.jpg	img5-m34	5	29	n:1 e:1 g:1 e:1	4	964	820	55	57
p005-u030	page-005.jpg	img5-m33	5	30	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	10	1031	830	188	41
p005-u031	page-005.jpg	img5-m30	5	31	e:1 g:1 e:1 c:1 f:1 j:1	6	1350	839	114	35
p005-u032	page-005.jpg	img5-m29	5	32	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1489	831	93	39
p005-u033	page-005.jpg	img5-m32	5	33	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	16	1701	807	268	87
p005-u034	page-005.jpg	img5-m27	5	34	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	8	1998	825	100	45
p005-u035	page-005.jpg	img5-m37	6	35	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	9	434	893	145	48
p005-u036	page-005.jpg	img5-m36	6	36	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2	12	625	889	177	44
p005-u037	page-005.jpg	img5-m40	6	37	e:1 c:1 h:2 a:1 b:1 c:1 a:1 c:1 f:1 j:1	10	1007	882	118	71
p005-u038	page-005.jpg	img5-m38	6	38	e:1 i:1 d:1 c:1 f:1 i:1 d:1	7	1159	893	77	55
p005-u039	page-005.jpg	img5-m42	6	39	e:1 h:1 a:1 m:1 c:1 a:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	14	1335	871	172	105
p005-u040	page-005.jpg	img5-m39	6	40	e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1	9	1637	904	137	49
p005-u041	page-005.jpg	img5-m41	6	41	e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1	8	1822	910	107	64
p005-u042	page-005.jpg	img5-m35	6	42	c:2 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	9	1964	887	109	89
p005-u043	page-005.jpg	img5-m45	7	43	n:1 e:1 g:1 e:1	4	443	964	54	56
p005-u044	page-005.jpg	img5-m47	7	44	c:1 f:1 i:1 d:1	4	500	978	42	41
p005-u045	page-005.jpg	img5-m43	7	45	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	9	586	942	127	95
p005-u046	page-005.jpg	img5-m44	7	46	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 h:1	11	750	979	164	73
p005-u047	page-005.jpg	img5-m46	7	47	e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	14	1019	989	211	43
p005-u048	page-005.jpg	img5-m48	8	48	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	15	481	2389	193	144
p005-u049	page-005.jpg	img5-m53	8	49	n:1 e:1 g:1 e:1	4	715	2434	54	71
p005-u050	page-005.jpg	img5-m55	8	50	e:1 f:1 k:1 f:1 i:1 d:1	6	782	2476	124	36
p005-u051	page-005.jpg	img5-m54	8	51	a:1 m:1 c:1 e:1 h:1	5	941	2485	112	65
p005-u052	page-005.jpg	img5-m52	8	52	e:1 i:1 d:1 n:1 e:1 g:1 e:1	7	1093	2475	109	51
p005-u053	page-005.jpg	img5-m57	8	53	c:1 f:1 j:1 a:1 b:1 c:1 a:1 b:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	18	1216	2436	254	103
p005-u054	page-005.jpg	img5-m56	8	54	e:1 h:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1	10	1698	2426	124	112
p005-u055	page-005.jpg	img5-m51	8	55	c:1 f:1 j:1	3	1870	2467	52	34
p005-u056	page-005.jpg	img5-m50	8	56	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	8	1941	2439	123	78
p005-u057	page-005.jpg	img5-m49	8	57	e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	13	2108	2433	209	60
p005-u058	page-005.jpg	img5-m58	8	58	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 f:1 j:1	12	2143	2503	190	58
p005-u059	page-005.jpg	img5-m61	9	59	e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1	13	472	2546	176	57
p005-u060	page-005.jpg	img5-m59	9	60	a:1 b:1 c:1 a:1 c:1 f:1 j:1	7	685	2531	85	83
p005-u061	page-005.jpg	img5-m66	9	61	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1	8	814	2544	132	97
p005-u062	page-005.jpg	img5-m75	9	62	n:1 e:1 g:1 e:1	4	953	2627	53	45
p005-u063	page-005.jpg	img5-m65	9	63	a:1 m:1 c:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1	10	994	2548	159	95
p005-u064	page-005.jpg	img5-m67	9	64	e:1 h:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	12	1221	2543	159	93
p005-u065	page-005.jpg	img5-m63	9	65	e:1 i:1 d:1 c:1	4	1414	2565	47	45
p005-u066	page-005.jpg	img5-m64	9	66	e:1 g:1 e:1 c:1 f:1 j:1	6	1683	2558	110	34
p005-u067	page-005.jpg	img5-m62	9	67	e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1	8	1826	2526	106	87
p005-u068	page-005.jpg	img5-m60	9	68	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	1982	2531	122	41
p005-u069	page-005.jpg	img5-m71	9	69	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	9	2035	2607	159	42
p005-u070	page-005.jpg	img5-m68	9	70	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 l:1 f:1 i:1 d:1	12	2221	2570	138	61
p005-u071	page-005.jpg	img5-m72	10	71	m:1 a:1 n:1 c:1 i:1 a:1 b:1 c:1 a:1 e:1 h:1	11	463	2618	129	81
p005-u072	page-005.jpg	img5-m73	10	72	e:1 g:1 e:1 c:1 f:1 j:1 e:1 f:1 k:1 f:1 i:1 d:1	12	654	2626	226	50
p005-u073	page-005.jpg	img5-m76	10	73	c:1 f:1 j:1	3	1014	2652	52	34
p005-u074	page-005.jpg	img5-m78	10	74	n:1 e:1 g:1 e:1	4	1133	2633	55	47
p005-u075	page-005.jpg	img5-m79	10	75	a:1 b:1 c:1 a:1 e:1 h:1 e:1	7	1200	2630	82	80
p005-u076	page-005.jpg	img5-m74	10	76	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	1325	2645	131	43
p005-u077	page-005.jpg	img5-m70	10	77	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	11	1670	2607	152	89
p005-u078	page-005.jpg	img5-m69	10	78	a:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1	8	1861	2601	130	68
p005-u079	page-005.jpg	img5-m82	10	79	n:1 e:1 g:1 e:1	4	1948	2682	58	48
p005-u080	page-005.jpg	img5-m77	10	80	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1	11	2146	2652	145	69
p005-u081	page-005.jpg	img5-m87	11	81	e:1 h:1 e:1 g:1 e:1 e:1 f:1 l:1 f:1 i:1 d:1	11	486	2713	193	70
