unit_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p003-u042	page-003.jpg	img3-m38	5	42	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	15	1467	822	226	80
p003-u043	page-003.jpg	img3-m41	5	43	e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 l:1 f:1 e:1 g:1 e:1 n:1 e:1 h:1	19	2015	843	342	99
p003-u044	page-003.jpg	img3-m47	6	44	c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	9	780	1023	117	75
p003-u045	page-003.jpg	img3-m49	6	45	n:1 c:1 g:1 e:1 h:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1	12	947	1037	233	93
p003-u046	page-003.jpg	img3-m45	6	46	e:1 a:1 m:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 h:1	12	1213	974	192	165
p003-u047	page-003.jpg	img3-m46	6	47	c:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	11	1456	1040	157	87
p003-u048	page-003.jpg	img3-m48	6	48	n:1 e:1 g:1 e:1 e:1 i:1 d:1	7	1669	1038	139	63
p003-u049	page-003.jpg	img3-m44	6	49	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	17	1823	972	254	145
p003-u050	page-003.jpg	img3-m50	6	50	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1 e:1 h:1	15	2123	1042	234	85
p003-u051	page-003.jpg	img3-m59	7	51	e:1 n:1 e:1 g:1 e:1 e:1 e:1 h:1	8	572	1148	148	82
p003-u052	page-003.jpg	img3-m57	7	52	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	10	769	1136	158	79
p003-u053	page-003.jpg	img3-m56	7	53	c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 e:1 h:1	11	976	1114	177	116
p003-u054	page-003.jpg	img3-m54	7	54	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 j:1	11	1202	1118	182	92
p003-u055	page-003.jpg	img3-m55	7	55	e:1 g:1 e:1 c:1 e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	14	1426	1114	218	93
p003-u056	page-003.jpg	img3-m53	7	56	c:1 e:1 i:1 d:1 e:1 g:1 e:1 e:1 h:1	9	1691	1138	157	97
p003-u057	page-003.jpg	img3-m52	7	57	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	9	1894	1151	148	49
p003-u058	page-003.jpg	img3-m58	7	58	e:1 g:1 e:1 c:1 f:1 i:1 d:1	7	2078	1142	143	61
p003-u059	page-003.jpg	img3-m51	7	59	a:1 b:1 c:1 a:1 c:1 e:1 i:1 d:1	8	2262	1118	105	74
p003-u060	page-003.jpg	img3-m64	8	60	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	9	568	1257	135	43
p003-u061	page-003.jpg	img3-m66	8	61	n:1 e:1 g:1 e:1 c:1 e:1 i:1 d:1	8	745	1228	144	62
p003-u062	page-003.jpg	img3-m60	8	62	e:1 a:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 f:1 j:1	12	935	1191	172	108
p003-u063	page-003.jpg	img3-m63	8	63	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	10	1146	1219	149	99
