signature	count	atom_count	folios	folio_count	images	example_molecules
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	2	9	f1r,f1v	2	page-003.jpg,page-004.jpg	p003-m185 p004-m020
e:1 c:1 h:2 c:1 f:1 i:1 d:1	2	7	f1r,f47v	2	page-003.jpg,page-094.jpg	p003-m114 p094-m017
e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1	2	9	f1v,f2r	2	page-004.jpg,page-005.jpg	p004-m012 p005-m040
e:1 f:1 k:1 f:1 i:1 d:1	2	6	f1r,f2r	2	page-003.jpg,page-005.jpg	p003-m020 p005-m050
e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	2	12	f1r,f1v	2	page-003.jpg,page-004.jpg	p003-m111 p004-m090
e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	2	13	f1r,f1v	2	page-003.jpg,page-004.jpg	p003-m115 p004-m002
e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1	2	9	f1r,f47v	2	page-003.jpg,page-094.jpg	p003-m153 p094-m012
e:1 h:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1	2	10	f1r,f2r	2	page-003.jpg,page-005.jpg	p003-m112 p005-m054
e:1 h:1 c:1 f:1 i:1 d:1	2	6	f1r,f2r	2	page-003.jpg,page-005.jpg	p003-m012 p005-m094
e:1 i:1 d:1 n:1 e:1 g:1 e:1	2	7	f1r,f2r	2	page-003.jpg,page-005.jpg	p003-m047 p005-m052
n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 e:1 h:1	2	11	f1r,f1v	2	page-003.jpg,page-004.jpg	p003-m071 p004-m039
a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	2	10	f1v	1	page-004.jpg	p004-m013 p004-m030
a:1 b:1 c:1 a:1 e:1 e:1 e:1 h:1	2	8	f1r	1	page-003.jpg	p003-m187 p003-m188
c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	2	11	f1r	1	page-003.jpg	p003-m034 p003-m166
c:1 a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 e:1 h:1	2	11	f1r	1	page-003.jpg	p003-m178 p003-m186
e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1	2	10	f1r	1	page-003.jpg	p003-m084 p003-m144
e:1 a:1 m:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	2	10	f1v	1	page-004.jpg	p004-m042 p004-m069
e:1 a:1 m:1 c:1 a:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1	2	12	f1r	1	page-003.jpg	p003-m017 p003-m164
e:1 e:1 e:1 h:1	2	4	f2r	1	page-005.jpg	p005-m056 p005-m089
e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1	2	8	f47v	1	page-094.jpg	p094-m002 p094-m036
e:1 h:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1	2	9	f1v	1	page-004.jpg	p004-m057 p004-m060
e:1 i:1 d:1 e:1 f:1 f:1 i:1 d:1 e:1 h:1	2	10	f47v	1	page-094.jpg	p094-m007 p094-m034
e:1 i:1 d:1 e:1 f:1 f:1 j:1	2	7	f47v	1	page-094.jpg	p094-m006 p094-m047
e:1 i:1 d:1 e:1 h:1	2	5	f1r	1	page-003.jpg	p003-m019 p003-m028
n:1 e:1 g:1 e:1 e:1 e:1 h:1	2	7	f1r	1	page-003.jpg	p003-m103 p003-m163
a:1 b:1 c:1 a:1 b:1 d:1 f:1 i:1 d:1 e:1 h:1 e:1 f:1 e:1 g:1 e:1	1	16	f1r	1	page-003.jpg	p003-m001
a:1 b:1 c:1 a:1 c:1 a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	15	f1r	1	page-003.jpg	p003-m179
a:1 b:1 c:1 a:1 c:1 a:1 m:1 c:1 a:1	1	9	f1v	1	page-004.jpg	p004-m021
a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2	1	8	f1r	1	page-003.jpg	p003-m098
a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	1	14	f1r	1	page-003.jpg	p003-m085
a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2	1	16	f1r	1	page-003.jpg	p003-m181
a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 n:1 e:1 g:1 e:1 e:1 e:1 h:1	1	15	f1r	1	page-003.jpg	p003-m129
a:1 b:1 c:1 a:1 c:1 e:1 i:1 d:1	1	8	f1r	1	page-003.jpg	p003-m058
a:1 b:1 c:1 a:1 c:1 f:1 i:1 d:1	1	8	f1r	1	page-003.jpg	p003-m107
a:1 b:1 c:1 a:1 c:2 g:1 e:1 c:1 a:1 b:1 c:1 a:1 c:2 g:1 e:1 e:1 h:1	1	17	f1v	1	page-004.jpg	p004-m017
a:1 b:1 c:1 a:1 c:2 g:1 e:1 n:1 e:1 g:1 e:1 e:1 h:1	1	13	f1r	1	page-003.jpg	p003-m184
a:1 b:1 c:1 a:1 e:1 c:1 f:1 j:1	1	8	f2r	1	page-005.jpg	p005-m078
a:1 b:1 c:1 a:1 e:1 e:1 e:1 g:1 e:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m025
a:1 b:1 c:1 a:1 e:1 e:1 e:1 i:1 d:1 e:1 h:1	1	11	f47v	1	page-094.jpg	p094-m072
a:1 b:1 c:1 a:1 e:1 e:1 g:1 e:1 e:1 h:1	1	10	f1v	1	page-004.jpg	p004-m065
a:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1	1	10	f1r	1	page-003.jpg	p003-m161
a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1	1	8	f1r	1	page-003.jpg	p003-m113
a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 c:1 h:1	1	12	f1r	1	page-003.jpg	p003-m117
a:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 i:1 d:1 e:1 h:1	1	12	f1v	1	page-004.jpg	p004-m001
a:1 b:1 c:1 a:1 e:1 h:1	1	6	f1v	1	page-004.jpg	p004-m067
a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	1	15	f2r	1	page-005.jpg	p005-m048
a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1	1	17	f2r	1	page-005.jpg	p005-m001
a:1 b:1 c:1 a:1 e:1 k:1 f:1 i:1 d:1	1	9	f1r	1	page-003.jpg	p003-m013
a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 e:1 h:1	1	11	f1r	1	page-003.jpg	p003-m074
a:1 e:1 b:1 c:1 a:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	12	f1r	1	page-003.jpg	p003-m065
a:1 e:1 b:1 c:1 a:1 f:1 i:1 d:1 c:1 e:1 g:1 e:1 e:1 f:1 c:1	1	15	f47v	1	page-094.jpg	p094-m045
a:1 e:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 e:1 e:1 i:1 d:1 e:1 h:1	1	20	f1r	1	page-003.jpg	p003-m151
a:1 m:1 c:1	1	3	f1v	1	page-004.jpg	p004-m051
a:1 m:1 c:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1	1	10	f2r	1	page-005.jpg	p005-m063
a:1 m:1 c:1 a:1 c:1 c:1 f:1 i:1 d:1	1	9	f1v	1	page-004.jpg	p004-m084
a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	1	10	f1v	1	page-004.jpg	p004-m037
a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 c:1 f:1 j:1	1	11	f47v	1	page-094.jpg	p094-m021
