skeleton	optional_index	base_count	expanded_count	total_count	optional_values	folios	example_expansions
c:1 f:1 i:1 d:1	2	7	1	8	k:1:1	f1r,f1v,f2r	c:1 k:1 f:1 i:1 d:1
e:1 g:1 e:1 c:1 f:1 i:1 d:1	3	5	2	7	e:1:2	f1r,f2r,f47v	e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1
e:1 g:1 e:1 c:1 f:1 i:1 d:1	4	5	2	7	e:1:2	f1r,f2r,f47v	e:1 g:1 e:1 e:1 c:1 f:1 i:1 d:1
e:1 g:1 e:1 e:1 e:1 h:1	1	4	2	6	n:1:2	f1r,f1v,f2r	n:1 e:1 g:1 e:1 e:1 e:1 h:1
n:1 e:1 g:1 c:1	4	1	5	6	e:1:5	f1r,f2r,f47v	n:1 e:1 g:1 e:1 c:1
n:1 e:1 g:1 e:1 c:1	4	5	1	6	e:1:1	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 c:1
n:1 e:1 g:1 e:1 c:1	5	5	1	6	e:1:1	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 c:1
n:1 e:1 g:1 e:1 e:1 h:1	5	3	3	6	e:1:2 c:1:1	f1r,f1v,f47v	n:1 e:1 g:1 e:1 e:1 e:1 h:1 | n:1 e:1 g:1 e:1 c:1 e:1 h:1
e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1	4	4	1	5	n:1:1	f1r,f2r,f47v	e:1 c:1 h:2 n:1 e:1 g:1 e:1 e:1 h:1
n:1 e:1 g:1 e:1 e:1	6	1	4	5	h:1:3 c:1:1	f1r,f1v,f47v	n:1 e:1 g:1 e:1 e:1 h:1 | n:1 e:1 g:1 e:1 e:1 c:1
n:1 e:1 g:1 e:1 e:1 e:1 h:1	4	2	3	5	e:1:3	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1
n:1 e:1 g:1 e:1 e:1 e:1 h:1	5	2	3	5	e:1:3	f1r,f2r,f47v	n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1
