scope	severity	score	reason	image_name	molecule_id	particle_id	source_index	row_hint	observed_sequence	dominant_sequence	bag_signature	variant_count	dominant_count	total	rare_ratio	atom_ids	particle_ids	anomaly_status	anomaly_note
particle-window	alta	131.06	ventana interna rara: 1/34 con mismo inventario aparece en orden raro; dominante 33/34; distancia 2	page-003.jpg	img3-m85	img3-m85-p1	329	y=1648	a:1 e:1 g:1	a:1 g:1 e:1	a:1 e:1 g:1	1	33	34	0.029	2430 2421 2422	img3-m85-p1	known-anomaly	page-003 img3-m85-p1; current rare window a:1 e:1 g:1 vs dominant a:1 g:1 e:1.
particle-window	alta	131.06	ventana interna rara: 1/34 con mismo inventario aparece en orden raro; dominante 33/34; distancia 2	page-003.jpg	img3-m85	img3-m85-p1	329	y=1648	c:1 a:1 e:1 g:1	c:1 a:1 g:1 e:1	a:1 c:1 e:1 g:1	1	33	34	0.029	2429 2430 2421 2422	img3-m85-p1	known-anomaly	page-003 img3-m85-p1; current rare window c:1 a:1 e:1 g:1 vs dominant c:1 a:1 g:1 e:1.
particle-window	media	101.48	ventana interna rara: 1/115 con mismo inventario aparece en orden raro; dominante 50/115; distancia 4	page-003.jpg	img3-m85	img3-m85-p1	329	y=1648	b:1 c:1 a:1 e:1	a:1 e:1 b:1 c:1	a:1 b:1 c:1 e:1	1	50	115	0.009	2423 2429 2430 2421	img3-m85-p1	known-anomaly	page-003 img3-m85-p1; current rare window b:1 c:1 a:1 e:1 vs dominant a:1 e:1 b:1 c:1.
