family	variant_count	token_count	merged_entropy	weighted_split_entropy	split_minus_merged	variants
h	2	287	0.9999	0.4678	-0.5321	h:1:n161:H0.5917 h:2:n126:H0.3095
c	2	557	0.7243	0.7191	-0.0052	c:1:n524:H0.7437 c:2:n33:H0.3298
