atom_id	image_name	token	predicted_centroid	centroid_correct	predicted_knn	knn_correct	nearest_distance	snapshot_path
3683	page-003.jpg	n:1	n:1	yes	n:1	yes	19.5205	atoms\n_1\page-003.jpg\3683.svg
3149	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3149.svg
3200	page-003.jpg	g:1	g:1	yes	g:1	yes	8.6126	atoms\g_1\page-003.jpg\3200.svg
3150	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3150.svg
3151	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3151.svg
3218	page-003.jpg	a:1	a:1	yes	a:1	yes	10.6110	atoms\a_1\page-003.jpg\3218.svg
3217	page-003.jpg	b:1	b:1	yes	b:1	yes	11.2186	atoms\b_1\page-003.jpg\3217.svg
3171	page-003.jpg	c:1	c:1	yes	c:1	yes	21.1582	atoms\c_1\page-003.jpg\3171.svg
3219	page-003.jpg	a:1	a:1	yes	a:1	yes	7.8915	atoms\a_1\page-003.jpg\3219.svg
3201	page-003.jpg	g:1	g:1	yes	g:1	yes	7.9712	atoms\g_1\page-003.jpg\3201.svg
3152	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3152.svg
3153	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3153.svg
3154	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3154.svg
3226	page-003.jpg	h:1	h:1	yes	h:1	yes	10.1420	atoms\h_1\page-003.jpg\3226.svg
3164	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3164.svg
3205	page-003.jpg	g:1	g:1	yes	g:1	yes	8.6534	atoms\g_1\page-003.jpg\3205.svg
3165	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3165.svg
3176	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3176.svg
3186	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3186.svg
3212	page-003.jpg	j:1	j:1	yes	j:1	yes	5.3437	atoms\j_1\page-003.jpg\3212.svg
3157	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3157.svg
3203	page-003.jpg	g:1	g:1	yes	g:1	yes	8.8732	atoms\g_1\page-003.jpg\3203.svg
3158	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3158.svg
3159	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3159.svg
3183	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3183.svg
3184	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3184.svg
3194	page-003.jpg	i:1	i:1	yes	i:1	yes	14.5521	atoms\i_1\page-003.jpg\3194.svg
3198	page-003.jpg	d:1	d:1	yes	d:1	yes	11.1664	atoms\d_1\page-003.jpg\3198.svg
3684	page-003.jpg	n:1	n:1	yes	n:1	yes	19.5819	atoms\n_1\page-003.jpg\3684.svg
3160	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3160.svg
3204	page-003.jpg	g:1	g:1	yes	g:1	yes	11.1258	atoms\g_1\page-003.jpg\3204.svg
3161	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3161.svg
3162	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3162.svg
3163	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3163.svg
3227	page-003.jpg	h:1	h:1	yes	h:1	yes	13.9646	atoms\h_1\page-003.jpg\3227.svg
3166	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3166.svg
3206	page-003.jpg	g:1	g:1	yes	g:1	yes	11.1730	atoms\g_1\page-003.jpg\3206.svg
3167	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3167.svg
3177	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3177.svg
3187	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3187.svg
3213	page-003.jpg	j:1	j:1	yes	j:1	yes	5.3437	atoms\j_1\page-003.jpg\3213.svg
3168	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3168.svg
3207	page-003.jpg	g:1	g:1	yes	g:1	yes	8.1866	atoms\g_1\page-003.jpg\3207.svg
3169	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3169.svg
3189	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3189.svg
3298	page-003.jpg	a:1	a:1	yes	a:1	yes	9.4701	atoms\a_1\page-003.jpg\3298.svg
3295	page-003.jpg	b:1	b:1	yes	b:1	yes	10.0813	atoms\b_1\page-003.jpg\3295.svg
3266	page-003.jpg	c:1	c:1	yes	c:1	yes	24.9146	atoms\c_1\page-003.jpg\3266.svg
3299	page-003.jpg	a:1	a:1	yes	a:1	yes	7.4361	atoms\a_1\page-003.jpg\3299.svg
3686	page-003.jpg	n:1	n:1	yes	e:1	no	24.5408	atoms\n_1\page-003.jpg\3686.svg
3236	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3236.svg
3254	page-003.jpg	g:1	g:1	yes	g:1	yes	8.1719	atoms\g_1\page-003.jpg\3254.svg
3237	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3237.svg
3239	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3239.svg
3304	page-003.jpg	h:1	h:1	yes	h:1	yes	6.7916	atoms\h_1\page-003.jpg\3304.svg
1266	page-003.jpg	e:1	e:1	yes	e:1	yes	21.1468	atoms\e_1\page-003.jpg\1266.svg
1275	page-003.jpg	a:1	a:1	yes	a:1	yes	9.3728	atoms\a_1\page-003.jpg\1275.svg
1276	page-003.jpg	e:1	m:1	no	e:1	yes	22.3541	atoms\e_1\page-003.jpg\1276.svg
1277	page-003.jpg	b:1	g:1	no	b:1	yes	8.1716	atoms\b_1\page-003.jpg\1277.svg
1278	page-003.jpg	c:1	m:1	no	c:1	yes	25.2033	atoms\c_1\page-003.jpg\1278.svg
1279	page-003.jpg	a:1	a:1	yes	a:1	yes	7.1583	atoms\a_1\page-003.jpg\1279.svg
1265	page-003.jpg	g:1	g:1	yes	g:1	yes	9.4277	atoms\g_1\page-003.jpg\1265.svg
1263	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\1263.svg
1280	page-003.jpg	e:1	e:1	yes	e:1	yes	19.2404	atoms\e_1\page-003.jpg\1280.svg
1281	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\1281.svg
1282	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\1282.svg
1284	page-003.jpg	i:1	i:1	yes	i:1	yes	19.8259	atoms\i_1\page-003.jpg\1284.svg
1285	page-003.jpg	d:1	d:1	yes	d:1	yes	10.7356	atoms\d_1\page-003.jpg\1285.svg
1286	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\1286.svg
1287	page-003.jpg	c:2	c:1	no	c:1	no	18.9867	atoms\c_2\page-003.jpg\1287.svg
1288	page-003.jpg	h:2	h:2	yes	h:2	yes	17.0072	atoms\h_2\page-003.jpg\1288.svg
1301	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\1301.svg
1302	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\1302.svg
1303	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\1303.svg
1304	page-003.jpg	i:1	i:1	yes	i:1	yes	13.8505	atoms\i_1\page-003.jpg\1304.svg
1305	page-003.jpg	d:1	d:1	yes	d:1	yes	17.5100	atoms\d_1\page-003.jpg\1305.svg
3300	page-003.jpg	a:1	a:1	yes	a:1	yes	9.3186	atoms\a_1\page-003.jpg\3300.svg
3296	page-003.jpg	b:1	b:1	yes	b:1	yes	9.9660	atoms\b_1\page-003.jpg\3296.svg
3267	page-003.jpg	c:1	c:1	yes	c:1	yes	24.8175	atoms\c_1\page-003.jpg\3267.svg
3301	page-003.jpg	a:1	a:1	yes	a:1	yes	10.6376	atoms\a_1\page-003.jpg\3301.svg
3240	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3240.svg
3255	page-003.jpg	g:1	g:1	yes	g:1	yes	9.7783	atoms\g_1\page-003.jpg\3255.svg
3241	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3241.svg
3268	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3268.svg
3302	page-003.jpg	a:1	a:1	yes	a:1	yes	8.9721	atoms\a_1\page-003.jpg\3302.svg
3297	page-003.jpg	b:1	b:1	yes	b:1	yes	13.5443	atoms\b_1\page-003.jpg\3297.svg
3273	page-003.jpg	c:1	c:1	yes	c:1	yes	22.1230	atoms\c_1\page-003.jpg\3273.svg
3303	page-003.jpg	a:1	a:1	yes	a:1	yes	7.7639	atoms\a_1\page-003.jpg\3303.svg
3249	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3249.svg
4650	page-003.jpg	g:1	g:1	yes	g:1	yes	7.9310	atoms\g_1\page-003.jpg\4650.svg
3250	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3250.svg
3274	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3274.svg
3282	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3282.svg
3291	page-003.jpg	i:1	b:1	no	b:1	no	11.3499	atoms\i_1\page-003.jpg\3291.svg
3275	page-003.jpg	c:1	c:1	yes	c:1	yes	22.1749	atoms\c_1\page-003.jpg\3275.svg
3305	page-003.jpg	h:1	h:1	yes	h:1	yes	6.7916	atoms\h_1\page-003.jpg\3305.svg
3242	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3242.svg
3289	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3289.svg
3288	page-003.jpg	h:2	h:2	yes	h:2	yes	14.8176	atoms\h_2\page-003.jpg\3288.svg
3269	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3269.svg
3279	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3279.svg
3287	page-003.jpg	i:1	i:1	yes	i:1	yes	17.2949	atoms\i_1\page-003.jpg\3287.svg
3293	page-003.jpg	d:1	d:1	yes	d:1	yes	10.2736	atoms\d_1\page-003.jpg\3293.svg
3230	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3230.svg
3252	page-003.jpg	g:1	g:1	yes	g:1	yes	8.3685	atoms\g_1\page-003.jpg\3252.svg
3231	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3231.svg
3263	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3263.svg
3276	page-003.jpg	f:1	f:1	yes	f:1	yes	1.5939	atoms\f_1\page-003.jpg\3276.svg
3283	page-003.jpg	j:1	j:1	yes	j:1	yes	5.3437	atoms\j_1\page-003.jpg\3283.svg
3232	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3232.svg
3253	page-003.jpg	g:1	g:1	yes	g:1	yes	7.7425	atoms\g_1\page-003.jpg\3253.svg
3233	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3233.svg
3264	page-003.jpg	c:1	c:1	yes	c:1	yes	12.6490	atoms\c_1\page-003.jpg\3264.svg
3234	page-003.jpg	e:1	e:1	yes	e:1	yes	2.2832	atoms\e_1\page-003.jpg\3234.svg
