folio	molecule_uid	source_molecule_id	family_id	slot_index	observed_value	local_context	frame_identity	model_a_key_seen	model_b_key_seen	observed_in_train_vocab	model_a_probability	model_b_probability	model_a_log_loss	model_b_log_loss	log_loss_difference	model_a_top1	model_b_top1	model_a_correct	model_b_correct
f2v	p006-m043	img6-m41	substitution-03	8	i:1	length=9|role=medial|left=f:1|right=d:1	slot=8|skeleton=e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	yes	yes	yes	0.6607142857142857	0.5526315789473685	0.5979015564286544	0.8556100906648251	-0.2577085342361707	i:1	i:1	yes	yes
f2v	p006-m046	img6-m46	substitution-03	8	i:1	length=9|role=medial|left=f:1|right=d:1	slot=8|skeleton=e:1 c:1 h:2 e:1 f:1 k:1 f:1 _ d:1	yes	yes	yes	0.6607142857142857	0.5526315789473685	0.5979015564286544	0.8556100906648251	-0.2577085342361707	i:1	i:1	yes	yes
f2r	p005-m032	img5-m29	substitution-04	7	i:1	length=8|role=medial|left=f:1|right=d:1	slot=7|skeleton=e:1 c:1 h:2 e:1 f:1 f:1 _ d:1	yes	yes	yes	0.46875	0.46875	1.0931094043914815	1.0931094043914815	0	i:1	i:1	yes	yes
f2r	p005-m034	img5-m27	substitution-04	7	i:1	length=8|role=medial|left=f:1|right=d:1	slot=7|skeleton=e:1 c:1 h:2 e:1 f:1 f:1 _ d:1	yes	yes	yes	0.46875	0.46875	1.0931094043914815	1.0931094043914815	0	i:1	i:1	yes	yes
f2r	p005-m087	img5-m84	substitution-04	7	i:1	length=8|role=medial|left=f:1|right=d:1	slot=7|skeleton=e:1 c:1 h:2 e:1 f:1 f:1 _ d:1	yes	yes	yes	0.46875	0.46875	1.0931094043914815	1.0931094043914815	0	i:1	i:1	yes	yes
f2r	p005-m068	img5-m60	substitution-05	8	i:1	length=9|role=medial|left=f:1|right=d:1	slot=8|skeleton=e:1 c:1 h:2 e:1 f:1 l:1 f:1 _ d:1	yes	yes	yes	0.6607142857142857	0.5	0.5979015564286544	1	-0.4020984435713456	i:1	i:1	yes	yes
f2r	p005-m096	img5-m96	substitution-06	5	f:1	length=8|role=medial|left=e:1|right=f:1	slot=5|skeleton=e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	yes	yes	yes	0.32142857142857145	0.32142857142857145	1.6374299206152916	1.6374299206152916	0	f:1	f:1	yes	yes
f2v	p006-m025	img6-m25	substitution-06	5	c:1	length=8|role=medial|left=e:1|right=f:1	slot=5|skeleton=e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	yes	yes	yes	0.17857142857142858	0.17857142857142858	2.4854268271702415	2.4854268271702415	0	f:1	f:1	no	no
f2v	p006-m045	img6-m43	substitution-06	5	f:1	length=8|role=medial|left=e:1|right=f:1	slot=5|skeleton=e:1 g:1 e:1 e:1 _ f:1 i:1 d:1	yes	yes	yes	0.32142857142857145	0.32142857142857145	1.6374299206152916	1.6374299206152916	0	f:1	f:1	yes	yes
f2r	p005-m100	img5-m101	substitution-07	5	c:1	length=5|role=final|left=e:1|right=END	slot=5|skeleton=n:1 e:1 g:1 e:1 _	yes	yes	yes	0.34615384615384615	0.34615384615384615	1.5305147166987798	1.5305147166987798	0	c:1	c:1	yes	yes
f2v	p006-m023	img6-m23	substitution-07	5	c:1	length=5|role=final|left=e:1|right=END	slot=5|skeleton=n:1 e:1 g:1 e:1 _	yes	yes	yes	0.34615384615384615	0.34615384615384615	1.5305147166987798	1.5305147166987798	0	c:1	c:1	yes	yes
f2r	p005-m041	img5-m41	substitution-08	8	h:1	length=8|role=final|left=e:1|right=END	slot=8|skeleton=e:1 c:1 h:2 e:1 g:1 e:1 e:1 _	yes	yes	yes	0.2916666666666667	0.2916666666666667	1.777607578663552	1.777607578663552	0	h:1	h:1	yes	yes
f2v	p006-m028	img6-m30	substitution-10	1	n:1	length=6|role=initial|left=START|right=e:1	slot=1|skeleton=_ e:1 g:1 e:1 e:1 h:1	yes	yes	yes	0.2692307692307692	0.2692307692307692	1.8930847960834882	1.8930847960834882	0	n:1	n:1	yes	yes
f2v	p006-m028	img6-m30	substitution-11	6	h:1	length=6|role=final|left=e:1|right=END	slot=6|skeleton=n:1 e:1 g:1 e:1 e:1 _	yes	yes	yes	0.2916666666666667	0.2916666666666667	1.777607578663552	1.777607578663552	0	h:1	h:1	yes	yes
