representation	folio	molecule_uid	source_molecule_id	sequence_length	symbol_index	observed_symbol	left_symbol	right_symbol	positional_role	local_context	context_seen_in_train	observed_in_train_vocab	probability	log_loss_bits	top1_symbol	top1_correct
ATOMS	f2v	p006-m003	img6-m6	22	15	c:1	e:1	h:2	medial	length=22|role=medial|left=e:1|right=h:2	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m003	img6-m6	22	16	h:2	c:1	e:1	medial	length=22|role=medial|left=c:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m003	img6-m6	22	17	e:1	h:2	f:1	medial	length=22|role=medial|left=h:2|right=f:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m003	img6-m6	22	18	f:1	e:1	l:1	medial	length=22|role=medial|left=e:1|right=l:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m003	img6-m6	22	19	l:1	f:1	f:1	medial	length=22|role=medial|left=f:1|right=f:1	no	no	0	Infinity	a:1	no
ATOMS	f2v	p006-m003	img6-m6	22	20	f:1	l:1	i:1	medial	length=22|role=medial|left=l:1|right=i:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m003	img6-m6	22	21	i:1	f:1	d:1	medial	length=22|role=medial|left=f:1|right=d:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m004	img6-m7	7	2	g:1	e:1	e:1	medial	length=7|role=medial|left=e:1|right=e:1	yes	yes	0.17647058823529413	2.502500340529183	g:1	yes
ATOMS	f2v	p006-m004	img6-m7	7	3	e:1	g:1	c:1	medial	length=7|role=medial|left=g:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m004	img6-m7	7	4	c:1	e:1	f:1	medial	length=7|role=medial|left=e:1|right=f:1	yes	yes	0.058823529411764705	4.087462841250339	f:1	no
ATOMS	f2v	p006-m004	img6-m7	7	5	f:1	c:1	i:1	medial	length=7|role=medial|left=c:1|right=i:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m004	img6-m7	7	6	i:1	f:1	d:1	medial	length=7|role=medial|left=f:1|right=d:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m006	img6-m2	6	2	m:1	a:1	c:1	medial	length=6|role=medial|left=a:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m006	img6-m2	6	3	c:1	m:1	a:1	medial	length=6|role=medial|left=m:1|right=a:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m006	img6-m2	6	4	a:1	c:1	e:1	medial	length=6|role=medial|left=c:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	yes
ATOMS	f2v	p006-m006	img6-m2	6	5	e:1	a:1	h:1	medial	length=6|role=medial|left=a:1|right=h:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m007	img6-m4	8	2	b:1	a:1	c:1	medial	length=8|role=medial|left=a:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m007	img6-m4	8	3	c:1	b:1	a:1	medial	length=8|role=medial|left=b:1|right=a:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m007	img6-m4	8	4	a:1	c:1	e:1	medial	length=8|role=medial|left=c:1|right=e:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	yes
ATOMS	f2v	p006-m007	img6-m4	8	5	e:1	a:1	g:1	medial	length=8|role=medial|left=a:1|right=g:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m007	img6-m4	8	6	g:1	e:1	e:1	medial	length=8|role=medial|left=e:1|right=e:1	yes	yes	0.2631578947368421	1.9259994185562233	g:1	yes
ATOMS	f2v	p006-m007	img6-m4	8	7	e:1	g:1	c:1	medial	length=8|role=medial|left=g:1|right=c:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
ATOMS	f2v	p006-m008	img6-m5	9	2	b:1	a:1	c:1	medial	length=9|role=medial|left=a:1|right=c:1	yes	yes	0.058823529411764705	4.087462841250339	m:1	no
ATOMS	f2v	p006-m008	img6-m5	9	3	c:1	b:1	a:1	medial	length=9|role=medial|left=b:1|right=a:1	no	yes	0.06666666666666667	3.9068905956085187	a:1	no
