representation	scope	train_vocabulary_size	train_sequence_count	test_sequence_count	evaluated_symbol_opportunities	zero_probability_count	finite_opportunities	unseen_test_context_count	unseen_test_context_rate	raw_log_loss_bits	finite_log_loss_bits	normalized_log_loss	finite_normalized_log_loss	top1_accuracy	mean_observed_probability	total_heldout_code_length_bits	bits_per_sequence	bits_per_predicted_symbol
ATOMS	combined	15	21	14	124	2	122	104	0.8387096774193549	Infinity	3.756462663983379	Infinity	0.9614967637450033	0.20161290322580644	0.07765904324378298	458.2884450059722	32.73488892899802	Infinity
ATOMS	f2r	15	21	6	50	1	49	40	0.8	Infinity	3.694797054123391	Infinity	0.945712956046548	0.24	0.08147368421052635	181.04505565204616	30.174175942007693	Infinity
ATOMS	f2v	15	21	8	74	1	73	64	0.8648648648648649	Infinity	3.7978546486839293	Infinity	0.9720913743919142	0.17567567567567569	0.07508158313111876	277.24338935392683	34.655423669240854	Infinity
EVA	combined	16	21	14	49	0	49	36	0.7346938775510204	3.695182533224742	3.695182533224742	0.9237956333061855	0.9237956333061855	0.32653061224489793	0.08498247783962068	181.06394412801237	12.933138866286598	3.695182533224742
EVA	f2r	16	21	6	27	0	27	21	0.7777777777777778	3.7442495372240043	3.7442495372240043	0.9360623843060011	0.9360623843060011	0.3333333333333333	0.0815329218106996	101.09473750504812	16.84912291750802	3.7442495372240043
EVA	f2v	16	21	8	22	0	22	15	0.6818181818181818	3.6349639374074645	3.6349639374074645	0.9087409843518661	0.9087409843518661	0.3181818181818182	0.08921602387511479	79.96920662296422	9.996150827870528	3.6349639374074645
