unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p004-u031	4	page-004.jpg	img4-m30	5	31	a:1 e:1 b:1 c:1 a:1 b:1 d:1 c:1 a:1 m:1 c:1 a:1 c:1 e:1 h:1	4684 4998 4741 4813 4685 4740 5492 4814 4686 5450 4815 4687 4816 4999 5276	15	529	2190	200	183
p004-u032	4	page-004.jpg	img4-m35	5	32	n:1 e:1 g:1 e:1 c:1 f:1 j:1	5451 5000 5159 5001 4817 5358 5420	7	784	2311	125	66
p004-u033	4	page-004.jpg	img4-m34	5	33	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	5002 4818 5309 5003 5359 5412 5360 5219 5244	9	953	2319	127	62
p004-u034	4	page-004.jpg	img4-m32	5	34	e:1 a:1 e:1 b:1 c:1 a:1 b:1 d:1 g:1 e:1 c:1 e:1 f:1 f:1 j:1	5004 4688 5005 4743 4819 4689 4742 5255 5160 5006 4820 5007 5361 5362 5421	15	1118	2281	182	124
p004-u035	4	page-004.jpg	img4-m36	5	35	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	5008 4821 5310 5009 5363 5364 5220 5245	8	1547	2356	93	56
p004-u036	4	page-004.jpg	img4-m38	5	36	e:1 g:1 e:1 e:1 e:1 h:1	5010 5161 5011 5012 5013 5277	6	1673	2398	112	45
p004-u037	4	page-004.jpg	img4-m33	5	37	a:1 m:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	4690 5452 4823 4691 4822 5014 4824 5311 5015 5278	10	1814	2308	158	140
p004-u038	4	page-004.jpg	img4-m40	5	38	c:1 a:1 m:1 c:1 a:1 c:1 e:1 f:1 k:1 f:1 i:1 d:1	4825 4692 5453 4826 4693 4827 5016 5365 5413 5366 5221 5246	12	2016	2331	204	121
p004-u039	4	page-004.jpg	img4-m42	5	39	n:1 e:1 g:1 e:1 c:1 n:1 e:1 g:1 e:1 e:1 h:1	5454 5017 5162 5018 4828 5455 5019 5163 5020 5021 5279	11	2259	2392	193	73
p004-u040	4	page-004.jpg	img4-m39	6	40	e:1 g:1 e:1 c:1 a:1 b:1 c:1 a:1 e:1 h:1	5046 5171 5045 4842 4700 4746 4841 4701 5044 5283	10	557	2369	142	83
p004-u041	4	page-004.jpg	img4-m41	6	41	e:1 g:1 e:1 c:1 f:1 j:1	5043 5170 5042 4840 5374 5461	6	749	2418	114	34
p004-u042	4	page-004.jpg	img4-m37	6	42	e:1 a:1 m:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1	5041 4699 5462 4839 4698 5169 5040 4838 5373 5460	10	910	2377	147	88
p004-u043	4	page-004.jpg	img4-m43	6	43	n:1 e:1 g:1 e:1 c:1 f:1 j:1	5459 5039 5168 5038 4837 5372 5458	7	1084	2406	122	62
p004-u044	4	page-004.jpg	img4-m44	6	44	c:1 a:1 b:1 c:1 a:1 e:1 f:1 f:1 j:1	4836 4696 4745 4855 4697 5037 5371 5370 5457	9	1243	2403	135	86
p004-u045	4	page-004.jpg	img4-m45	6	45	e:1 c:1 h:2 c:1 f:1 j:1	5036 4835 5313 4834 5369 5456	6	1545	2447	99	46
p004-u046	4	page-004.jpg	img4-m47	6	46	e:1 g:1 e:1 e:1 e:1 h:1	5035 5167 5034 5033 5032 5282	6	1674	2472	116	45
