unit_id	image_id	image_name	source_molecule_id	row_index	unit_index	atoms	atom_ids	atom_count	bounds_x	bounds_y	bounds_w	bounds_h
p005-u030	5	page-005.jpg	img5-m33	5	30	c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1	5713 5711 5714 6077 5712 6131 6226 6132 6272 6344	10	1031	830	188	41
p005-u031	5	page-005.jpg	img5-m30	5	31	e:1 g:1 e:1 c:1 f:1 j:1	5715 6415 5717 5616 6133 6461	6	1350	839	114	35
p005-u032	5	page-005.jpg	img5-m29	5	32	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	5718 5618 6078 5719 6134 6135 6273 6333	8	1489	831	93	39
p005-u033	5	page-005.jpg	img5-m32	5	33	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1	5720 5913 5548 5721 5722 5625 5549 5723 6416 5724 5725 6136 6227 6137 6274 6334	16	1701	807	268	87
p005-u034	5	page-005.jpg	img5-m27	5	34	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	5726 5624 6079 5727 6139 6138 6275 6335	8	1998	825	100	45
p005-u035	5	page-005.jpg	img5-m37	6	35	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1	5745 6284 6339 5744 6147 6228 6146 6283 6340	9	434	893	145	48
p005-u036	5	page-005.jpg	img5-m36	6	36	e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2	5743 5605 6086 5742 6145 6282 6144 6281 6341 5741 5606 6085	12	625	889	177	44
p005-u037	5	page-005.jpg	img5-m40	6	37	e:1 c:1 h:2 a:1 b:1 c:1 a:1 c:1 f:1 j:1	5740 5614 6084 5554 5571 6278 5555 5613 6143 6464	10	1007	882	118	71
p005-u038	5	page-005.jpg	img5-m38	6	38	e:1 i:1 d:1 c:1 f:1 i:1 d:1	5898 6277 6342 5612 6142 6276 6343	7	1159	893	77	55
p005-u039	5	page-005.jpg	img5-m42	6	39	e:1 h:1 a:1 m:1 c:1 a:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	5739 5917 5552 6388 6279 5553 5615 6141 6463 5738 5617 6082 5737 5916	14	1335	871	172	105
p005-u040	5	page-005.jpg	img5-m39	6	40	e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1	5736 5619 6081 5735 6419 5734 5620 6140 6462	9	1637	904	137	49
p005-u041	5	page-005.jpg	img5-m41	6	41	e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1	5733 5621 6080 5732 6418 5731 5730 5915	8	1822	910	107	64
p005-u042	5	page-005.jpg	img5-m35	6	42	c:2 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1	6488 5550 6387 5622 5551 6417 5728 5729 5914	9	1964	887	109	89
p005-u043	5	page-005.jpg	img5-m45	7	43	n:1 e:1 g:1 e:1	6489 5746 6423 5747	4	443	964	54	56
p005-u044	5	page-005.jpg	img5-m47	7	44	c:1 f:1 i:1 d:1	5608 6148 6285 6338	4	500	978	42	41
p005-u045	5	page-005.jpg	img5-m43	7	45	e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1	5748 5556 5569 5607 5557 6422 5749 5750 5918	9	586	942	127	95
p005-u046	5	page-005.jpg	img5-m44	7	46	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 h:1	5751 5609 6087 5752 6149 6229 6150 6286 6337 5753 5919	11	750	979	164	73
p005-u047	5	page-005.jpg	img5-m46	7	47	e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	5754 6421 5755 5610 6151 6465 5756 5611 6088 5757 6152 6153 6287 6336	14	1019	989	211	43
p005-u048	5	page-005.jpg	img5-m48	8	48	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	5947 5989 6011 5948 5758 5920 5765 6012 6089 5766 6154 6230 6155 6288 6348	15	481	2389	193	144
p005-u049	5	page-005.jpg	img5-m53	8	49	n:1 e:1 g:1 e:1	6490 5767 6424 5768	4	715	2434	54	71
p005-u050	5	page-005.jpg	img5-m55	8	50	e:1 f:1 k:1 f:1 i:1 d:1	5769 6156 6231 6157 6289 6349	6	782	2476	124	36
p005-u051	5	page-005.jpg	img5-m54	8	51	a:1 m:1 c:1 e:1 h:1	5949 6389 6013 5770 5921	5	941	2485	112	65
p005-u052	5	page-005.jpg	img5-m52	8	52	e:1 i:1 d:1 n:1 e:1 g:1 e:1	5771 6290 6350 6491 5774 6431 5773	7	1093	2475	109	51
p005-u053	5	page-005.jpg	img5-m57	8	53	c:1 f:1 j:1 a:1 b:1 c:1 a:1 b:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1	6014 6158 6466 5950 6390 6015 5951 5990 6391 6016 5775 6017 6090 5776 6159 6160 6291 6351	18	1216	2436	254	103
p005-u054	5	page-005.jpg	img5-m56	8	54	e:1 h:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1	5845 5922 5952 5991 6018 5953 6492 5846 6432 5847	10	1698	2426	124	112
p005-u055	5	page-005.jpg	img5-m51	8	55	c:1 f:1 j:1	6019 6161 6467	3	1870	2467	52	34
