molecule_uid	folio	image_name	source_molecule_id	row_index	unit_index	line_position	signature	atom_count	atom_ids	particle_count	particles	particle_ids	eva_line	eva_token_index	eva_token	bounds_x	bounds_y	bounds_w	bounds_h
p006-m015	f2v	page-006.jpg	img6-m15	3	15	3.15	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1	10	6600 6534 7038 6599 6535 6838 6970 6839 6840 7046	4	c:1 | a:1 m:1 c:1 a:1 | e:1 g:1 e:1 | e:1 h:1	img6-m15-p1 img6-m15-p2 img6-m15-p3 img6-m15-p4				748	808	169	98
p006-m016	f2v	page-006.jpg	img6-m17	3	16	3.16	e:1 g:1 e:1 c:1 e:1 i:1 d:1	7	6841 6971 6842 6601 6843 6730 6762	3	e:1 g:1 e:1 | c:1 | e:1 i:1 d:1	img6-m17-p1 img6-m17-p2 img6-m17-p3				974	841	144	43
p006-m017	f2v	page-006.jpg	img6-m16	3	17	3.17	n:1 f:1 j:1 e:1 g:1 e:1 e:1 h:1	8	7030 6682 7060 6844 6972 6845 6846 7047	4	n:1 | f:1 j:1 | e:1 g:1 e:1 | e:1 h:1	img6-m16-p1 img6-m16-p2 img6-m16-p3 img6-m16-p4				1162	847	131	76
p006-m018	f2v	page-006.jpg	img6-m20	3	18	3.18	e:1 g:1 e:1 c:1 f:1 j:1	6	6847 6973 6848 6602 6683 7061	3	e:1 g:1 e:1 | c:1 | f:1 j:1	img6-m20-p1 img6-m20-p2 img6-m20-p3				1359	874	119	34
p006-m019	f2v	page-006.jpg	img6-m19	3	19	3.19	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 h:1	9	6849 6974 6850 6603 6851 6604 7016 6852 7048	4	e:1 g:1 e:1 | c:1 | e:1 c:1 h:2 | e:1 h:1	img6-m19-p1 img6-m19-p2 img6-m19-p3 img6-m19-p4				1505	852	152	74
p006-m020	f2v	page-006.jpg	img6-m18	3	20	3.20	e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1	13	6853 6976 6854 6605 6855 6606 7017 6856 6684 6661 6686 6731 6763	5	e:1 g:1 e:1 | c:1 | e:1 c:1 h:2 | e:1 f:1 | l:1 f:1 i:1 d:1	img6-m18-p1 img6-m18-p2 img6-m18-p3 img6-m18-p4 img6-m18-p5				1701	853	219	47
p006-m021	f2v	page-006.jpg	img6-m22	3	21	3.21	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1	16	6859 6536 6979 6565 6607 6537 6978 6860 6862 6608 7015 6857 6977 6858 6861 7049	4	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 | e:1 c:1 h:2 | e:1 g:1 e:1 | e:1 h:1	img6-m22-p1 img6-m22-p2 img6-m22-p3 img6-m22-p4				2037	851	260	91
p006-m022	f2v	page-006.jpg	img6-m21	3	22	3.22	e:1 f:1 k:1 f:1 i:1 d:1	6	6863 6687 6660 6688 6732 6766	2	e:1 f:1 | k:1 f:1 i:1 d:1	img6-m21-p1 img6-m21-p2				2319	868	93	46
p006-m023	f2v	page-006.jpg	img6-m23	4	23	4.23	n:1 e:1 g:1 e:1 c:1	5	7031 6874 6987 6873 6614	3	n:1 | e:1 g:1 e:1 | c:1	img6-m23-p1 img6-m23-p2 img6-m23-p3				753	896	89	54
p006-m024	f2v	page-006.jpg	img6-m24	4	24	4.24	e:1 g:1 e:1 c:1 f:1 j:1 c:1	7	6872 6986 6871 6613 6720 7062 6612	4	e:1 g:1 e:1 | c:1 | f:1 j:1 | c:1	img6-m24-p1 img6-m24-p2 img6-m24-p3 img6-m24-p4				885	927	137	34
