subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	unseen_context_count	log_loss_bits	normalized_log_loss	top1_correct_count	top1_accuracy	mean_observed_probability	sequence
all	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	0	4.158429362604482	0.48946566878132164	2	1	0.24000000000000002	okol
all	EVA	f2r	12	f2r-l12-r002	N:M	low	12	10	4	37.98500602739548	0.8942008993134374	3	0.3	0.08564890487087282	chychorcthor
all	EVA	f2r	12	f2r-l12-r003	N:M	low	14	12	9	48.23837488788624	0.9463119512441526	2	0.16666666666666666	0.06725146198830408	yoranchansaiin
all	EVA	f2r	12	f2r-l12-r004	N:M	low	13	11	6	40.503581130782734	0.8668094564959123	4	0.36363636363636365	0.09176102311113749	chetychykysal
all	EVA	f2r	13	f2r-l13-r001	N:M	low	23	21	15	86.42841570927433	0.9688580679104933	2	0.09523809523809523	0.06362178738772395	shoykeeycheydaiinchcthy
all	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	kooiin
all	EVA	f2v	1	f2v-l1-r002	N:M	low	24	22	13	87.80834341600287	0.9395848503675381	4	0.18181818181818182	0.071284931696831	cheopchorotaiinodainchor
all	EVA	f2v	1	f2v-l1-r003	N:M	low	8	6	3	22.750809807224723	0.8926239024883047	2	0.3333333333333333	0.08187134502923976	dairshty
all	EVA	f2v	2	f2v-l2-r001	N:M	low	11	9	4	35.17765110533787	0.9201258468331456	2	0.2222222222222222	0.07929243398350949	kchokchysho
all	EVA	f2v	2	f2v-l2-r002	N:M	low	20	18	10	70.8034879861716	0.9259873427440269	4	0.2222222222222222	0.07547855145109147	sholqotcholoeeesqoty
all	EVA	f2v	2	f2v-l2-r003	N:M	low	9	7	3	23.36748116767322	0.7858447642567623	4	0.5714285714285714	0.11483678139447998	chordaiin
all	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	1	9.862637357558793	0.7739175810907093	2	0.6666666666666666	0.11278195488721804	otchy
all	EVA	f2v	3	f2v-l3-r002	N:M	low	24	22	20	93.74318511442922	1.003090061059791	0	0	0.05217589428115741	chorlshycholchodychodain
all	EVA	f2v	3	f2v-l3-r003	N:M	low	11	9	2	22.050915533430103	0.5767757849404783	7	0.7777777777777778	0.21629360758217386	chcthydaiin
all	EVA	f2v	4	f2v-l4-r001	N:M	low	21	19	9	66.70445571282795	0.8264643913720986	8	0.42105263157894735	0.11132063568532313	shocholocheorchodaiin
all	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	0	10.621136113274641	0.8334367037150476	1	0.3333333333333333	0.1250793650793651	kchor
all	EVA	f2v	5	f2v-l5-r002	N:M	low	16	14	6	49.43041080917905	0.8311685211325265	6	0.42857142857142855	0.10625943741340928	shydaiiinchckhoy
all	EVA	f2v	5	f2v-l5-r003	N:M	low	7	5	0	20.507869146450897	0.9655470382462427	1	0.2	0.06583850931677018	sheydor
all	EVA	f2v	5	f2v-l5-r004	N:M	low	9	7	2	23.511871077008397	0.7907005744935768	4	0.5714285714285714	0.11412070549043414	choldaiin
all	EVA	f2v	6	f2v-l6-r001	N:M	low	19	17	14	72.64793745654647	1.0059983538219472	0	0	0.051747014595311794	dorcholchorcholkeol
all	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	0	2.807354922057604	0.660876371636064	1	1	0.14285714285714285	chy
all	EVA	f2v	6	f2v-l6-r003	N:M	low	19	17	13	69.01668130355138	0.9557142323435653	2	0.11764705882352941	0.06704100404463842	chtydaiinotchorchan
all	EVA	f2v	7	f2v-l7-r001	N:M	low	13	11	2	35.85177673835027	0.7672570731125776	6	0.5454545454545454	0.1215588378059774	daiinchotchey
all	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	qoteeey
all	EVA	f2v	7	f2v-l7-r003	N:M	low	15	13	10	51.12385249145423	0.925770043240734	2	0.15384615384615385	0.08550178352119485	chokeoscheeschr
all	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	2	16.917919793059983	0.7965258229816384	3	0.6	0.10676691729323307	cheaiin
all	EVA	f2v	8	f2v-l8-r001	N:M	low	22	20	7	66.6141619947353	0.7840783745004924	8	0.4	0.14570381217346695	chokoishechorcheolchol
all	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	dolody
medium	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	14	56	1	0	0	0.0625	e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1
medium	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	0	15.509775004326936	0.646240625180289	6	1	0.16666666666666666	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
medium	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	2	8	1	0	0	0.0625	e:1 e:1 e:1 h:1
medium	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	3	24.15542543174719	0.7548570447420997	6	0.75	0.14038825757575757	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1
medium	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	2	24.459431618637296	0.6794286560732582	5	0.5555555555555556	0.1707070707070707	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1
medium	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	2	21.40053792958373	0.6687668102994916	5	0.625	0.1794507575757576	e:1 g:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1
medium	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	7	45.25871324015921	1.0286071190945274	0	0	0.05813820018365474	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 e:1 h:1
medium	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	3	28.18784690943957	0.8808702159199866	3	0.375	0.1032986111111111	e:1 g:1 e:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
medium	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	4	33.50977500432693	0.8377443751081733	4	0.4	0.11944444444444444	e:1 c:1 h:2 c:1 f:1 j:1 c:1 e:1 c:1 h:2 e:1 h:1
medium	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	6	25.48756508066151	1	0	0	0.05263157894736842	dorchory
medium	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	dan
medium	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	1	13.032562359001105	1.0226604477718007	0	0	0.04928989139515455	ckhor
medium	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	1	9.862637357558793	0.7739175810907093	2	0.6666666666666666	0.11278195488721804	otchy
medium	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	1	10.841878797391995	0.8507583021822814	1	0.3333333333333333	0.10588064363808071	kchor
medium	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	chy
medium	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	qoteeey
medium	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	cheaiin
medium	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	dolody
medium_low_medium	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	15	60	1	1	0.06666666666666667	0.0625	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1
medium_low_medium	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	14	56	1	0	0	0.0625	e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1
medium_low_medium	ATOMS	f2r	3	f2r-l3-r001	1:1	low-medium	14	12	5	45.73859369482281	0.9528873686421419	2	0.16666666666666666	0.08298611111111111	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2r	3	f2r-l3-r004	1:1	low-medium	7	5	3	18.906890595608516	0.9453445297804258	1	0.2	0.08083333333333334	e:1 h:1 e:1 c:1 h:2 e:1 h:1
medium_low_medium	ATOMS	f2r	3	f2r-l3-r005	1:1	low-medium	9	7	0	14.592342031086755	0.5211550725388127	5	0.7142857142857143	0.28429705215419504	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	11	49.32192809488736	0.9484986172093723	3	0.23076923076923078	0.07724358974358975	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	8	42.04439411935846	0.9555544118036013	1	0.09090909090909091	0.08872819100091828	e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1
medium_low_medium	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	4	28.0850361038558	0.7801398917737722	6	0.6666666666666666	0.14800785634118968	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	0	15.228818690495881	0.634534112103995	5	0.8333333333333334	0.17500000000000002	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	2	8	1	0	0	0.0625	e:1 e:1 e:1 h:1
medium_low_medium	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	0	10.95623008973908	0.45650958707246164	6	1	0.2840909090909091	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1
medium_low_medium	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	3	25.73286119583347	0.8041519123697959	3	0.375	0.15201655982905984	a:1 b:1 c:1 a:1 c:1 c:1 k:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	2	21.04295214518455	0.6575922545370172	6	0.75	0.21581439393939392	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1
medium_low_medium	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	1	22.921537371572917	0.636709371432581	6	0.6666666666666666	0.19754489337822673	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	1	17.936036941268036	0.5605011544146261	6	0.75	0.2569092365967366	e:1 g:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1
medium_low_medium	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	1	36.91454207160002	0.8389668652636367	4	0.36363636363636365	0.11550734618916438	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 e:1 h:1
medium_low_medium	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	3	23.747496261658377	0.7421092581768243	3	0.375	0.16946022727272728	e:1 g:1 e:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
medium_low_medium	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	4	33.661778097771986	0.8415444524442997	3	0.3	0.11777777777777779	e:1 c:1 h:2 c:1 f:1 j:1 c:1 e:1 c:1 h:2 e:1 h:1
medium_low_medium	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	kydainy
medium_low_medium	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	6	25.48756508066151	1	0	0	0.05263157894736842	dorchory
medium_low_medium	EVA	f2r	3	f2r-l3-r001	1:1	low-medium	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	qotaiin
medium_low_medium	EVA	f2r	3	f2r-l3-r004	1:1	low-medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	ydy
medium_low_medium	EVA	f2r	3	f2r-l3-r005	1:1	low-medium	6	4	3	17.136099963109515	1.0084976679144253	0	0	0.05137844611528822	chaiin
medium_low_medium	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	3	15.55113746238836	0.9152190929090159	1	0.25	0.07518796992481203	kydain
medium_low_medium	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	2	15.695527371723534	0.9237167608234412	1	0.25	0.07393483709273183	dlssho
medium_low_medium	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	1	7.669391281881862	0.6018143559504593	2	0.6666666666666666	0.22198830409356726	saiin
medium_low_medium	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	dan
medium_low_medium	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	1	13.163806892279357	1.0329591587599154	0	0	0.047909629145327086	ckhor
medium_low_medium	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	0	4.158429362604482	0.48946566878132164	2	1	0.24000000000000002	okol
medium_low_medium	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	kooiin
medium_low_medium	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	1	9.862637357558793	0.7739175810907093	2	0.6666666666666666	0.11278195488721804	otchy
medium_low_medium	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	0	10.621136113274641	0.8334367037150476	1	0.3333333333333333	0.1250793650793651	kchor
medium_low_medium	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	0	2.807354922057604	0.660876371636064	1	1	0.14285714285714285	chy
medium_low_medium	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	qoteeey
medium_low_medium	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	cheaiin
medium_low_medium	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	dolody
one_to_one	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	15	60	1	1	0.06666666666666667	0.0625	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1
one_to_one	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	14	56	1	0	0	0.0625	e:1 c:1 h:2 c:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 h:1
one_to_one	ATOMS	f2r	3	f2r-l3-r001	1:1	low-medium	14	12	5	45.73859369482281	0.9528873686421419	2	0.16666666666666666	0.08298611111111111	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 f:1 k:1 f:1 i:1 d:1
one_to_one	ATOMS	f2r	3	f2r-l3-r004	1:1	low-medium	7	5	3	18.906890595608516	0.9453445297804258	1	0.2	0.08083333333333334	e:1 h:1 e:1 c:1 h:2 e:1 h:1
one_to_one	ATOMS	f2r	3	f2r-l3-r005	1:1	low-medium	9	7	0	14.592342031086755	0.5211550725388127	5	0.7142857142857143	0.28429705215419504	e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
one_to_one	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	11	49.32192809488736	0.9484986172093723	3	0.23076923076923078	0.07724358974358975	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
one_to_one	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	8	42.04439411935846	0.9555544118036013	1	0.09090909090909091	0.08872819100091828	e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1
one_to_one	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	4	28.0850361038558	0.7801398917737722	6	0.6666666666666666	0.14800785634118968	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1
one_to_one	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	0	15.228818690495881	0.634534112103995	5	0.8333333333333334	0.17500000000000002	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
one_to_one	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	2	8	1	0	0	0.0625	e:1 e:1 e:1 h:1
one_to_one	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	0	10.95623008973908	0.45650958707246164	6	1	0.2840909090909091	c:1 a:1 b:1 c:1 a:1 c:1 f:1 j:1
one_to_one	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	3	25.73286119583347	0.8041519123697959	3	0.375	0.15201655982905984	a:1 b:1 c:1 a:1 c:1 c:1 k:1 f:1 i:1 d:1
one_to_one	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	2	21.04295214518455	0.6575922545370172	6	0.75	0.21581439393939392	c:1 a:1 m:1 c:1 a:1 e:1 g:1 e:1 e:1 h:1
one_to_one	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	1	22.921537371572917	0.636709371432581	6	0.6666666666666666	0.19754489337822673	a:1 b:1 c:1 a:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1
one_to_one	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	1	17.936036941268036	0.5605011544146261	6	0.75	0.2569092365967366	e:1 g:1 e:1 a:1 e:1 b:1 c:1 a:1 e:1 h:1
one_to_one	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	1	36.91454207160002	0.8389668652636367	4	0.36363636363636365	0.11550734618916438	a:1 m:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 e:1 e:1 e:1 h:1
one_to_one	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	3	23.747496261658377	0.7421092581768243	3	0.375	0.16946022727272728	e:1 g:1 e:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1
one_to_one	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	4	33.661778097771986	0.8415444524442997	3	0.3	0.11777777777777779	e:1 c:1 h:2 c:1 f:1 j:1 c:1 e:1 c:1 h:2 e:1 h:1
one_to_one	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	kydainy
one_to_one	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	6	25.48756508066151	1	0	0	0.05263157894736842	dorchory
one_to_one	EVA	f2r	3	f2r-l3-r001	1:1	low-medium	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	qotaiin
one_to_one	EVA	f2r	3	f2r-l3-r004	1:1	low-medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	ydy
one_to_one	EVA	f2r	3	f2r-l3-r005	1:1	low-medium	6	4	3	17.136099963109515	1.0084976679144253	0	0	0.05137844611528822	chaiin
one_to_one	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	3	15.55113746238836	0.9152190929090159	1	0.25	0.07518796992481203	kydain
one_to_one	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	2	15.695527371723534	0.9237167608234412	1	0.25	0.07393483709273183	dlssho
one_to_one	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	1	7.669391281881862	0.6018143559504593	2	0.6666666666666666	0.22198830409356726	saiin
one_to_one	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	1	4.247927513443585	1	0	0	0.05263157894736842	dan
one_to_one	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	1	13.163806892279357	1.0329591587599154	0	0	0.047909629145327086	ckhor
one_to_one	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	0	4.158429362604482	0.48946566878132164	2	1	0.24000000000000002	okol
one_to_one	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	kooiin
one_to_one	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	1	9.862637357558793	0.7739175810907093	2	0.6666666666666666	0.11278195488721804	otchy
one_to_one	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	0	10.621136113274641	0.8334367037150476	1	0.3333333333333333	0.1250793650793651	kchor
one_to_one	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	0	2.807354922057604	0.660876371636064	1	1	0.14285714285714285	chy
one_to_one	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	5	21.239637567217926	1	0	0	0.05263157894736842	qoteeey
one_to_one	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	3	18.358492384445963	0.8643505486544256	2	0.4	0.08872180451127819	cheaiin
one_to_one	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	4	16.99171005377434	1	0	0	0.05263157894736842	dolody
exclude_unresolved_eva_lines	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	6	49.24688780476242	0.8207814634127071	6	0.4	0.1260942760942761	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 h:1
exclude_unresolved_eva_lines	ATOMS	f2r	1	f2r-l1-r002	N:M	low	36	34	17	118.15525929475828	0.8687886712849874	16	0.47058823529411764	0.10314542483660129	e:1 h:1 a:1 m:1 c:1 a:1 b:1 d:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 f:1 j:1
exclude_unresolved_eva_lines	ATOMS	f2r	1	f2r-l1-r003	N:M	low	33	31	19	109.9285763486064	0.8865207770048903	12	0.3870967741935484	0.0975151640474221	e:1 a:1 b:1 c:1 a:1 b:1 d:1 e:1 h:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 j:1 e:1 i:1 d:1 e:1 h:1
exclude_unresolved_eva_lines	ATOMS	f2r	5	f2r-l5-r001	N:M	low	17	15	7	53.72067178682556	0.895344529780426	4	0.26666666666666666	0.10527777777777778	c:1 a:1 m:1 c:1 a:1 c:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 f:1 j:1 e:1 f:1
exclude_unresolved_eva_lines	ATOMS	f2r	5	f2r-l5-r002	N:M	low	28	26	26	104	1	0	0	0.0625	n:1 e:1 g:1 e:1 c:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
exclude_unresolved_eva_lines	ATOMS	f2r	5	f2r-l5-r003	N:M	low	24	22	16	87.58659060137776	0.9953021659247473	0	0	0.06489898989898991	e:1 h:1 a:1 e:1 b:1 c:1 a:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
exclude_unresolved_eva_lines	ATOMS	f2r	6	f2r-l6-r001	N:M	low	21	19	11	66.67970000576923	0.8773644737601215	6	0.3157894736842105	0.1034356725146199	e:1 i:1 d:1 e:1 f:1 k:1 f:1 i:1 d:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1 e:1 c:1 h:2
exclude_unresolved_eva_lines	ATOMS	f2r	6	f2r-l6-r002	N:M	low	17	15	9	54.024348177156696	0.9004058029526116	5	0.3333333333333333	0.09731481481481483	e:1 c:1 h:2 a:1 b:1 c:1 a:1 c:1 f:1 j:1 e:1 i:1 d:1 c:1 f:1 i:1 d:1
exclude_unresolved_eva_lines	ATOMS	f2r	6	f2r-l6-r003	N:M	low	40	38	11	102.77511442978977	0.6761520686170379	23	0.6052631578947368	0.21880435311162866	e:1 h:1 a:1 m:1 c:1 a:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2 e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 g:1 e:1 e:1 h:1 c:2 a:1 m:1 c:1 a:1 g:1 e:1 e:1 h:1
exclude_unresolved_eva_lines	ATOMS	f2r	7	f2r-l7-r001	N:M	low	28	26	26	104	1	2	0.07692307692307693	0.0625	n:1 e:1 g:1 e:1 c:1 f:1 i:1 d:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 e:1 h:1
exclude_unresolved_eva_lines	ATOMS	f2r	7	f2r-l7-r002	N:1	low	14	12	1	26.32406383923135	0.5484179966506532	9	0.75	0.24658362470862472	e:1 g:1 e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
exclude_unresolved_eva_lines	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	6	45.18832391226782	0.8690062290820735	4	0.3076923076923077	0.11482128982128983	a:1 b:1 c:1 a:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 i:1 d:1
exclude_unresolved_eva_lines	ATOMS	f2r	8	f2r-l8-r002	N:M	low	40	38	13	107.19768013069658	0.705247895596688	22	0.5789473684210527	0.1893953376345017	n:1 e:1 g:1 e:1 e:1 f:1 k:1 f:1 i:1 d:1 a:1 m:1 c:1 e:1 h:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1 a:1 b:1 c:1 a:1 b:1 d:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
exclude_unresolved_eva_lines	ATOMS	f2r	8	f2r-l8-r003	N:M	low	46	44	16	140.1749960689374	0.7964488413007806	20	0.45454545454545453	0.13589169668715126	e:1 h:1 a:1 b:1 c:1 a:1 n:1 e:1 g:1 e:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1 e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1 c:1 f:1 j:1
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	8	42.2814333166593	0.9609416662877114	1	0.09090909090909091	0.08356290174471992	e:1 c:1 h:2 f:1 j:1 e:1 i:1 d:1 n:1 e:1 g:1 e:1 c:1
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r002	N:M	low	45	43	43	172	1	6	0.13953488372093023	0.0625	a:1 b:1 c:1 a:1 c:1 f:1 j:1 n:1 e:1 g:1 e:1 e:1 e:1 e:1 h:1 n:1 e:1 g:1 e:1 a:1 m:1 c:1 a:1 b:1 c:1 a:1 e:1 e:1 h:1 e:1 h:1 a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1 e:1 i:1 d:1 c:1
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r003	N:M	low	14	12	4	37.04439411935845	0.7717582108199678	6	0.5	0.14255050505050507	e:1 g:1 e:1 c:1 f:1 j:1 e:1 h:1 a:1 b:1 c:1 a:1 e:1 h:1
