subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
medium_low_medium	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	100	8	8	8	0	0	no	no	0
medium_low_medium	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	100	10.95623008973908	22.69961034738322	22.68930214053658	-11.74338025764414	-11.7330720507975	yes	yes	0
medium_low_medium	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	100	25.73286119583347	32.661778097771986	32.376630531234284	-6.928916901938518	-6.643769335400815	yes	yes	0
medium_low_medium	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	100	21.04295214518455	30.720671786825555	30.34318441529859	-9.677719641641005	-9.30023227011404	yes	no	1
medium_low_medium	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	100	22.921537371572917	36.01890085660504	35.934639658778686	-13.097363485032126	-13.013102287205768	yes	yes	0
medium_low_medium	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	100	17.936036941268036	30.627645450928533	29.90348238695167	-12.691608509660497	-11.967445445683634	yes	yes	0
medium_low_medium	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	100	36.91454207160002	42.74160538249026	42.77983107405985	-5.827063310890246	-5.865289002459832	yes	yes	0
medium_low_medium	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	100	23.747496261658377	31.795859283219777	31.729561612118285	-8.0483630215614	-7.982065350459909	yes	yes	0
medium_low_medium	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	100	33.661778097771986	39.49185309632968	39.22134364723543	-5.830074998557691	-5.559565549463443	yes	yes	0
medium_low_medium	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	100	21.239637567217926	21.239637567217926	21.288730136391845	0	-0.04909256917391858	no	no	0
medium_low_medium	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	100	25.48756508066151	25.48756508066151	25.48756508066158	0	-6.750155989720952e-14	no	no	0
medium_low_medium	EVA	f2r	3	f2r-l3-r001	1:1	low-medium	7	5	100	18.358492384445963	21.239637567217926	20.960319503579452	-2.881145182771963	-2.601827119133489	yes	no	0
medium_low_medium	EVA	f2r	3	f2r-l3-r004	1:1	low-medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
medium_low_medium	EVA	f2r	3	f2r-l3-r005	1:1	low-medium	6	4	100	17.136099963109515	16.99171005377434	16.674883878728398	0.1443899093351746	0.4612160843811175	no	no	70
medium_low_medium	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	100	15.55113746238836	16.99171005377434	16.85634945421551	-1.4405725913859815	-1.3052119918271519	yes	no	0
medium_low_medium	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	100	15.695527371723534	17.136099963109515	16.786163903975456	-1.4405725913859815	-1.0906365322519225	yes	no	8
medium_low_medium	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	100	7.669391281881862	12.743782540330756	11.278348808159581	-5.074391258448894	-3.6089575262777194	yes	no	0
medium_low_medium	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
medium_low_medium	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	100	13.163806892279357	13.163806892279357	12.097888432877353	0	1.0659184594020044	no	no	48
medium_low_medium	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	100	4.158429362604482	4.158429362604482	6.283767938102995	0	-2.125338575498513	no	no	0
medium_low_medium	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	100	16.99171005377434	16.99171005377434	16.99171005377434	0	0	no	no	0
medium_low_medium	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	100	9.862637357558793	12.88817244966593	12.341802310478002	-3.0255350921071376	-2.4791649529192092	yes	no	0
medium_low_medium	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	100	10.621136113274641	12.743782540330756	12.536075559993254	-2.1226464270561145	-1.9149394467186127	yes	no	0
medium_low_medium	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	100	2.807354922057604	2.807354922057604	2.807354922057605	0	-8.881784197001252e-16	no	no	0
medium_low_medium	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	100	21.239637567217926	21.239637567217926	21.239637567217883	0	4.263256414560601e-14	no	no	0
medium_low_medium	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	100	18.358492384445963	21.239637567217926	20.882615072695707	-2.881145182771963	-2.5241226882497436	yes	no	3
medium_low_medium	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	100	16.99171005377434	16.99171005377434	16.56692409692359	0	0.4247859568507515	no	no	35
one_to_one	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	100	60	60	60	0	0	no	no	0
one_to_one	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	100	56	56	56	0	0	no	no	0
one_to_one	ATOMS	f2r	3	f2r-l3-r001	1:1	low-medium	14	12	100	45.73859369482281	48.41585154960715	47.96018280490097	-2.6772578547843366	-2.221589110078156	yes	no	6
one_to_one	ATOMS	f2r	3	f2r-l3-r004	1:1	low-medium	7	5	100	18.906890595608516	20.339850002884624	19.696561763436385	-1.4329594072761083	-0.7896711678278692	yes	no	21
one_to_one	ATOMS	f2r	3	f2r-l3-r005	1:1	low-medium	9	7	100	14.592342031086755	28.43968617530281	27.778444458950773	-13.847344144216056	-13.186102427864018	yes	yes	0
one_to_one	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	100	49.32192809488736	52.16992500144231	51.796661494720084	-2.847996906554947	-2.474733399832722	yes	no	3
one_to_one	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	100	42.04439411935846	44.935073976120776	44.341018090994204	-2.8906798567623184	-2.2966239716357464	yes	no	7
one_to_one	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	100	28.0850361038558	35.72320647166475	35.49135213354583	-7.638170367808954	-7.406316029690032	yes	yes	0
one_to_one	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	100	15.228818690495881	24.330889048885993	23.768291138833025	-9.102070358390112	-8.539472448337143	yes	yes	0
one_to_one	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	100	8	8	8	0	0	no	no	0
one_to_one	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	100	10.95623008973908	22.459431618637296	22.18040347958278	-11.503201528898217	-11.224173389843699	yes	no	0
one_to_one	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	100	25.73286119583347	32.629356620079605	32.38213500753112	-6.896495424246137	-6.64927381169765	yes	yes	0
one_to_one	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	100	21.04295214518455	30.976797437827088	30.539717641201797	-9.933845292642538	-9.496765496017247	yes	no	1
one_to_one	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	100	22.921537371572917	36.30242115296699	36.026334889251665	-13.380883781394076	-13.104797517678747	yes	yes	0
one_to_one	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	100	17.936036941268036	30.666053249453952	30.102580019915035	-12.730016308185917	-12.166543078646999	yes	yes	0
one_to_one	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	100	36.91454207160002	42.71814485879652	42.80537184501684	-5.803602787196503	-5.890829773416826	yes	yes	0
one_to_one	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	100	23.747496261658377	32.24708162850844	32.000017059518555	-8.499585366850063	-8.252520797860178	yes	yes	0
one_to_one	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	100	33.661778097771986	39.47474523866072	39.24777502724817	-5.8129671408887305	-5.585996929476181	yes	yes	0
one_to_one	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	100	21.239637567217926	21.239637567217926	21.27573504455168	0	-0.03609747733375457	no	no	0
one_to_one	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	100	25.48756508066151	25.48756508066151	25.48756508066158	0	-6.750155989720952e-14	no	no	0
one_to_one	EVA	f2r	3	f2r-l3-r001	1:1	low-medium	7	5	100	18.358492384445963	21.239637567217926	21.029493599981702	-2.881145182771963	-2.671001215535739	yes	no	0
one_to_one	EVA	f2r	3	f2r-l3-r004	1:1	low-medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
one_to_one	EVA	f2r	3	f2r-l3-r005	1:1	low-medium	6	4	100	17.136099963109515	16.99171005377434	16.79446138331933	0.1443899093351746	0.3416385797901853	no	no	67
one_to_one	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	100	15.55113746238836	16.99171005377434	16.92407965152441	-1.4405725913859815	-1.3729421891360492	yes	no	0
one_to_one	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	100	15.695527371723534	17.136099963109515	16.763094783501483	-1.4405725913859815	-1.067567411777949	yes	no	5
one_to_one	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	100	7.669391281881862	12.743782540330756	10.828845353087244	-5.074391258448894	-3.1594540712053822	yes	no	0
one_to_one	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
one_to_one	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	100	13.163806892279357	13.163806892279357	12.451765872919273	0	0.7120410193600843	no	no	46
one_to_one	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	100	4.158429362604482	4.158429362604482	5.893399628317552	0	-1.73497026571307	no	no	0
one_to_one	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	100	16.99171005377434	16.99171005377434	16.99171005377434	0	0	no	no	0
one_to_one	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	100	9.862637357558793	12.88817244966593	12.16929469577373	-3.0255350921071376	-2.3066573382149365	yes	no	0
one_to_one	EVA	f2v	5	f2v-l5-r001	1:1	medium	5	3	100	10.621136113274641	12.743782540330756	12.369414551536602	-2.1226464270561145	-1.748278438261961	yes	no	0
one_to_one	EVA	f2v	6	f2v-l6-r002	1:1	medium	3	1	100	2.807354922057604	2.807354922057604	2.807354922057605	0	-8.881784197001252e-16	no	no	0
one_to_one	EVA	f2v	7	f2v-l7-r002	1:1	medium	7	5	100	21.239637567217926	21.239637567217926	21.239637567217883	0	4.263256414560601e-14	no	no	0
one_to_one	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	100	18.358492384445963	21.239637567217926	20.865354813614807	-2.881145182771963	-2.5068624291688444	yes	no	3
one_to_one	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	100	16.99171005377434	16.99171005377434	16.59281448554495	0	0.398895568229392	no	no	32
exclude_unresolved_eva_lines	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	100	49.24688780476242	60.50977500432693	60.274818366790676	-11.26288719956451	-11.027930562028253	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	1	f2r-l1-r002	N:M	low	36	34	100	118.15525929475828	136.69541702548628	136.39793798741178	-18.540157730727998	-18.2426786926535	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	1	f2r-l1-r003	N:M	low	33	31	100	109.9285763486064	124.21372474562493	124.14644798745947	-14.285148397018531	-14.217871638853069	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	5	f2r-l5-r001	N:M	low	17	15	100	53.72067178682556	60.697211263131805	60.16414102601438	-6.976539476306243	-6.443469239188815	yes	no	1
exclude_unresolved_eva_lines	ATOMS	f2r	5	f2r-l5-r002	N:M	low	28	26	100	104	104	104	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	5	f2r-l5-r003	N:M	low	24	22	100	87.58659060137776	88.91666559993544	88.41827217254344	-1.3300749985576772	-0.8316815711656744	yes	no	24
exclude_unresolved_eva_lines	ATOMS	f2r	6	f2r-l6-r001	N:M	low	21	19	100	66.67970000576923	76.52382516033583	75.95897371227488	-9.844125154566598	-9.279273706505649	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	6	f2r-l6-r002	N:M	low	17	15	100	54.024348177156696	60.509775004326926	60.2156596791663	-6.48542682717023	-6.191311502009604	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	6	f2r-l6-r003	N:M	low	40	38	100	102.77511442978977	151.22825795152824	151.49335886664707	-48.45314352173847	-48.718244436857304	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	7	f2r-l7-r001	N:M	low	28	26	100	104	104	104	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	7	f2r-l7-r002	N:1	low	14	12	100	26.32406383923135	47.87158216960531	47.69524729606942	-21.54751833037396	-21.371183456838068	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	100	45.18832391226782	52.661778097771986	52.16235850437043	-7.473454185504167	-6.974034592102612	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	8	f2r-l8-r002	N:M	low	40	38	100	107.19768013069658	154.87205177162465	154.73720593016827	-47.67437164092807	-47.53952579947169	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	8	f2r-l8-r003	N:M	low	46	44	100	140.1749960689374	176.07311336654524	175.93228626356517	-35.898117297607854	-35.757290194627785	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	100	42.2814333166593	44.56956581220327	44.13323804869199	-2.2881324955439695	-1.85180473203269	yes	no	11
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r002	N:M	low	45	43	100	172	172	172	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r003	N:M	low	14	12	100	37.04439411935845	48.15065656093607	47.91266248540043	-11.10626244157762	-10.868268366041981	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	9	f2r-l9-r004	N:M	low	30	28	100	92.4934811969863	111.93540155826099	111.74019087259714	-19.441920361274697	-19.246709675610845	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	10	f2r-l10-r001	N:M	low	26	24	100	72.55499838998526	97.01263587543501	96.79140105407083	-24.45763748544975	-24.236402664085574	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	10	f2r-l10-r002	N:M	low	20	18	100	54.3399972091539	73.18478920777952	72.79891034698245	-18.844791998625617	-18.458913137828553	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	10	f2r-l10-r003	N:M	low	23	21	100	68.24045077882982	83.09445884471111	83.1966773533545	-14.854008065881288	-14.956226574524678	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	100	28.0850361038558	36.339850002884624	36.00750692136645	-8.254813899028825	-7.92247081751065	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	11	f2r-l11-r001	N:M	low	18	16	100	44.753457238129045	63.57243791676769	63.4336946111766	-18.818980678638646	-18.680237373047554	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	11	f2r-l11-r002	N:M	low	25	23	100	92	92	92	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	100	14.795859283219775	24.169925001442312	23.697014572557038	-9.374065718222537	-8.901155289337263	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	11	f2r-l11-r004	N:1	low	12	10	100	37.822001698022	40.339850002884624	39.68464172053851	-2.517848304862625	-1.8626400225165085	yes	no	12
exclude_unresolved_eva_lines	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	100	8	8	8	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	100	10.95623008973908	22.69961034738322	22.58344811399809	-11.74338025764414	-11.627218024259012	yes	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	12	f2r-l12-r002	N:M	low	24	22	100	79.28771237954945	87.72067178682555	87.28617129738448	-8.432959407276101	-7.998458917835038	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2r	12	f2r-l12-r003	N:M	low	28	26	100	104	104	104	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	12	f2r-l12-r004	N:M	low	29	27	100	108	108	108	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2r	13	f2r-l13-r001	N:M	low	43	41	100	108.12580636390281	159.09033602152783	158.6474094989828	-50.96452965762502	-50.521603135079985	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	100	25.73286119583347	32.459431618637296	31.886294137520654	-6.726570422803828	-6.153432941687186	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	1	f2v-l1-r002	N:M	low	48	46	100	184	184	184	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2v	1	f2v-l1-r003	N:M	low	19	17	100	59.831703099214295	68.66177809777199	68.25933877192497	-8.830074998557691	-8.427635672710679	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	2	f2v-l2-r001	N:M	low	29	27	100	108	108	108	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2v	2	f2v-l2-r002	N:M	low	31	29	100	70.32682858531123	115.69440850731121	115.81585765100907	-45.367579921999976	-45.489029065697835	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	2	f2v-l2-r003	N:M	low	16	14	100	56	56	56	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	100	21.71691965196445	31.22755522648136	30.77194037080517	-9.510635574516911	-9.05502071884072	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	3	f2v-l3-r002	N:M	low	43	41	100	119.9274089028851	163.6855862291286	163.1238936033751	-43.7581773262435	-43.196484700490004	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	3	f2v-l3-r003	N:M	low	22	20	100	44.91778344781252	81.41221342206804	80.82727971751048	-36.49442997425552	-35.90949626969796	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	4	f2v-l4-r001	N:M	low	33	31	100	101.50151653067488	124.35272485641693	123.94099156503613	-22.85120832574205	-22.43947503436125	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	6	f2v-l6-r001	N:M	low	39	37	100	148	148	148	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	100	17.873038853881727	30.58280191788387	29.864652905923666	-12.709763064002143	-11.991614052041939	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	6	f2v-l6-r003	N:M	low	29	27	100	108	108	108	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2v	7	f2v-l7-r001	N:M	low	23	21	100	68.5446041719892	84.672828782122	84.14321702651415	-16.12822461013279	-15.598612854524944	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	100	37.0076514759915	43.35907242939825	43.0045596435831	-6.351420953406752	-5.996908167591599	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	7	f2v-l7-r003	N:M	low	27	25	100	100	100	100	0	0	no	no	0
exclude_unresolved_eva_lines	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	100	24.394991557077084	32.50806383517586	32.192032574231746	-8.113072278098777	-7.797041017154662	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	8	f2v-l8-r001	N:M	low	35	33	100	111.71919089243825	133.18893651568385	132.65913669316672	-21.4697456232456	-20.939945800728466	yes	yes	0
exclude_unresolved_eva_lines	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	100	34.831703099214295	39.36632221424581	39.22244140181401	-4.534619115031518	-4.390738302599715	yes	no	1
exclude_unresolved_eva_lines	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	100	21.239637567217926	21.239637567217926	21.239637567217883	0	4.263256414560601e-14	no	no	0
exclude_unresolved_eva_lines	EVA	f2r	1	f2r-l1-r002	N:M	low	17	15	100	53.76271144532609	64.13893705360238	63.723191810141174	-10.376225608276286	-9.960480364815083	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	1	f2r-l1-r003	N:M	low	15	13	100	47.0818245246064	55.51183749343696	55.14838699534882	-8.43001296883056	-8.066562470742426	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	5	f2r-l5-r001	N:M	low	9	7	100	28.294920002719117	29.87988250344027	29.683055668422735	-1.5849625007211543	-1.3881356657036186	yes	no	2
exclude_unresolved_eva_lines	EVA	f2r	5	f2r-l5-r002	N:M	low	15	13	100	41.84539265000065	55.65622740277213	55.26378201629632	-13.810834752771484	-13.41838936629567	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	5	f2r-l5-r003	N:M	low	11	9	100	34.1387603164444	38.520127439662616	38.23040401766966	-4.381367123218219	-4.091643701225266	yes	no	0
exclude_unresolved_eva_lines	EVA	f2r	6	f2r-l6-r001	N:M	low	10	8	100	27.009687620228853	33.98342010754868	33.122121540470424	-6.973732487319829	-6.112433920241571	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	6	f2r-l6-r002	N:M	low	7	5	100	19.94345488516712	21.239637567217926	21.054039884568677	-1.2961826820508051	-1.1105849994015564	yes	no	6
exclude_unresolved_eva_lines	EVA	f2r	6	f2r-l6-r003	N:M	low	19	17	100	72.21476772854095	72.21476772854095	72.25808470134155	0	-0.04331697280059643	no	no	0
exclude_unresolved_eva_lines	EVA	f2r	7	f2r-l7-r001	N:M	low	14	12	100	48.23837488788624	50.97513016132302	50.98832484328116	-2.736755273436785	-2.749949955394925	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	7	f2r-l7-r002	N:1	low	7	5	100	18.358492384445963	21.239637567217926	21.0352691963551	-2.881145182771963	-2.6767768119091357	yes	no	0
exclude_unresolved_eva_lines	EVA	f2r	8	f2r-l8-r001	1:1	low-medium	6	4	100	15.55113746238836	16.99171005377434	16.9226024874114	-1.4405725913859815	-1.3714650250230402	yes	no	0
exclude_unresolved_eva_lines	EVA	f2r	8	f2r-l8-r002	N:M	low	14	12	100	48.09398497855106	51.1195200706582	50.842890215088545	-3.025535092107134	-2.7489052365374818	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	8	f2r-l8-r003	N:M	low	23	21	100	87.91029510026448	89.35086769165046	89.2890232595335	-1.4405725913859868	-1.3787281592690164	yes	no	5
exclude_unresolved_eva_lines	EVA	f2r	9	f2r-l9-r001	1:1	low-medium	6	4	100	15.08980631083558	17.136099963109515	16.464819219876343	-2.046293652273935	-1.3750129090407626	yes	no	13
exclude_unresolved_eva_lines	EVA	f2r	9	f2r-l9-r002	N:M	low	20	18	100	76.46269524198453	76.60708515131971	76.35651200946964	-0.1443899093351746	0.10618323251489414	yes	no	15
exclude_unresolved_eva_lines	EVA	f2r	9	f2r-l9-r003	N:M	low	7	5	100	19.799064975831946	21.3840274765531	21.10631223992433	-1.5849625007211543	-1.307247264092382	yes	no	2
exclude_unresolved_eva_lines	EVA	f2r	9	f2r-l9-r004	N:M	low	11	9	100	32.09246666417046	38.50698206360569	37.519864742230126	-6.414515399435231	-5.427398078059667	yes	no	1
exclude_unresolved_eva_lines	EVA	f2r	10	f2r-l10-r001	N:M	low	16	14	100	55.37839788366233	59.75976500688054	59.5477094864564	-4.381367123218212	-4.1693116027940675	yes	no	1
exclude_unresolved_eva_lines	EVA	f2r	10	f2r-l10-r002	N:M	low	10	8	100	29.525700209548283	34.127810016883856	33.99732020189058	-4.602109807335573	-4.471619992342298	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	10	f2r-l10-r003	N:M	low	14	12	100	51.26390997999337	50.97513016132302	50.99544454368896	0.2887798186703492	0.26846543630441033	no	no	96
exclude_unresolved_eva_lines	EVA	f2r	10	f2r-l10-r004	1:1	low-medium	5	3	100	7.669391281881862	12.743782540330756	11.199889888231912	-5.074391258448894	-3.53049860635005	yes	no	0
exclude_unresolved_eva_lines	EVA	f2r	11	f2r-l11-r001	N:M	low	9	7	100	28.294920002719117	29.87988250344027	29.654331530290154	-1.5849625007211543	-1.3594115275710372	yes	no	5
exclude_unresolved_eva_lines	EVA	f2r	11	f2r-l11-r002	N:M	low	12	10	100	40.01815430361249	42.7680549531062	42.39237080349429	-2.7499006494937106	-2.374216499881797	yes	no	3
exclude_unresolved_eva_lines	EVA	f2r	11	f2r-l11-r003	1:1	medium	3	1	100	4.247927513443585	4.247927513443585	4.247927513443585	0	0	no	no	0
exclude_unresolved_eva_lines	EVA	f2r	11	f2r-l11-r004	N:1	low	12	10	100	42.47927513443585	42.62366504377103	42.60489435555739	-0.1443899093351746	-0.12561922112153923	yes	no	0
exclude_unresolved_eva_lines	EVA	f2r	11	f2r-l11-r005	1:1	medium	5	3	100	13.163806892279357	12.953794716305056	12.31940493372795	0.21001217597430077	0.8444019585514067	no	no	50
exclude_unresolved_eva_lines	EVA	f2r	12	f2r-l12-r001	1:1	low-medium	4	2	100	4.158429362604482	8.49585502688717	6.5873877346027845	-4.337425664282688	-2.428958371998302	yes	no	0
exclude_unresolved_eva_lines	EVA	f2r	12	f2r-l12-r002	N:M	low	12	10	100	39.13679880011111	42.62366504377103	42.08375414983123	-3.486866243659918	-2.9469553497201204	yes	no	3
exclude_unresolved_eva_lines	EVA	f2r	12	f2r-l12-r003	N:M	low	14	12	100	50.97513016132302	51.1195200706582	51.022911891482316	-0.1443899093351746	-0.047781730159293545	yes	no	4
exclude_unresolved_eva_lines	EVA	f2r	12	f2r-l12-r004	N:M	low	13	11	100	41.79976381283354	46.87159255721461	46.75332125727455	-5.071828744381072	-4.95355744444101	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2r	13	f2r-l13-r001	N:M	low	23	21	100	86.42841570927433	89.49525760098564	88.95555986275407	-3.066841891711306	-2.527144153479739	yes	no	4
exclude_unresolved_eva_lines	EVA	f2v	1	f2v-l1-r001	1:1	low-medium	6	4	100	16.99171005377434	16.99171005377434	16.99171005377434	0	0	no	no	0
exclude_unresolved_eva_lines	EVA	f2v	1	f2v-l1-r002	N:M	low	24	22	100	87.80834341600287	93.8875750237644	93.34555687955748	-6.079231607761528	-5.5372134635546075	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2v	1	f2v-l1-r003	N:M	low	8	6	100	24.04699248927553	25.631954989996686	25.419005719314768	-1.5849625007211543	-1.3720132300392365	yes	no	5
exclude_unresolved_eva_lines	EVA	f2v	2	f2v-l2-r001	N:M	low	11	9	100	38.23134762099227	38.627276297323405	38.50858918037137	-0.39592867633113826	-0.27724155937909956	yes	no	0
exclude_unresolved_eva_lines	EVA	f2v	2	f2v-l2-r002	N:M	low	20	18	100	75.16651255993374	76.60708515131971	76.44153573087915	-1.4405725913859726	-1.275023170945417	yes	no	10
exclude_unresolved_eva_lines	EVA	f2v	2	f2v-l2-r003	N:M	low	9	7	100	23.36748116767322	29.87988250344027	29.617117499150567	-6.512401335767052	-6.2496363314773475	yes	yes	0
exclude_unresolved_eva_lines	EVA	f2v	3	f2v-l3-r001	1:1	medium	5	3	100	9.862637357558793	12.88817244966593	12.116921573449423	-3.0255350921071376	-2.25428421589063	yes	no	0
