subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
all	ATOMS	f2r	11	f2r-l11-r005	1:1	medium	4	2	100	8	8	8	0	0	no	no	0
all	ATOMS	f2r	12	f2r-l12-r001	1:1	low-medium	8	6	100	10.95623008973908	22.459431618637296	22.702311078284037	-11.503201528898217	-11.746080988544957	yes	yes	0
all	ATOMS	f2r	12	f2r-l12-r002	N:M	low	24	22	100	70.97168387400667	86.81333225421399	86.78021503857545	-15.841648380207317	-15.808531164568777	yes	yes	0
all	ATOMS	f2r	12	f2r-l12-r003	N:M	low	28	26	100	84.20739691809347	103.84147810354123	103.89562666433538	-19.63408118544777	-19.688229746241916	yes	yes	0
all	ATOMS	f2r	12	f2r-l12-r004	N:M	low	29	27	100	108	108	108	0	0	no	no	0
all	ATOMS	f2r	13	f2r-l13-r001	N:M	low	43	41	100	108.12580636390281	159.48410427351322	158.53869508417637	-51.358297909610414	-50.41288872027356	yes	yes	0
all	ATOMS	f2v	1	f2v-l1-r001	1:1	low-medium	10	8	100	25.73286119583347	32.49185309632968	32.04641628340833	-6.758991900496209	-6.3135550875748585	yes	yes	0
all	ATOMS	f2v	1	f2v-l1-r002	N:M	low	48	46	100	184	184	184	0	0	no	no	0
all	ATOMS	f2v	1	f2v-l1-r003	N:M	low	19	17	100	51.270084884090764	68.93075281044621	68.49154331195527	-17.660667926355444	-17.221458427864505	yes	yes	0
all	ATOMS	f2v	2	f2v-l2-r001	N:M	low	29	27	100	108	108	108	0	0	no	no	0
all	ATOMS	f2v	2	f2v-l2-r002	N:M	low	31	29	100	70.32682858531123	115.88478593152571	115.41101021063977	-45.55795734621448	-45.08418162532854	yes	yes	0
all	ATOMS	f2v	2	f2v-l2-r003	N:M	low	16	14	100	56	56	56	0	0	no	no	0
all	ATOMS	f2v	3	f2v-l3-r001	1:1	medium	10	8	100	21.04295214518455	30.262028903340106	30.303538055512814	-9.219076758155555	-9.260585910328263	yes	yes	0
all	ATOMS	f2v	3	f2v-l3-r002	N:M	low	43	41	100	119.9274089028851	161.9626476610277	162.02099655831228	-42.03523875814258	-42.09358765542717	yes	yes	0
all	ATOMS	f2v	3	f2v-l3-r003	N:M	low	22	20	100	43.86302791291204	80.1482057120803	80.1747157091606	-36.28517779916826	-36.311687796248556	yes	yes	0
all	ATOMS	f2v	4	f2v-l4-r001	N:M	low	33	31	100	101.50151653067488	123.58631241772395	123.33290102710951	-22.08479588704907	-21.831384496434637	yes	yes	0
all	ATOMS	f2v	5	f2v-l5-r001	1:1	medium	11	9	100	22.921537371572917	36.55245795453432	35.947709904974964	-13.630920582961402	-13.026172533402047	yes	yes	0
all	ATOMS	f2v	5	f2v-l5-r002	N:M	low	28	26	100	85.86754691520882	103.17155310209893	103.07955348407353	-17.304006186890106	-17.21200656886471	yes	yes	0
all	ATOMS	f2v	5	f2v-l5-r003	N:M	low	10	8	100	18.66260736407186	30.308930490620888	30.067023229862507	-11.646323126549028	-11.404415865790646	yes	yes	0
all	ATOMS	f2v	5	f2v-l5-r004	N:M	low	22	20	100	47.321858533814805	81.88432595202809	81.57647734299636	-34.56246741821329	-34.25461880918155	yes	yes	0
all	ATOMS	f2v	6	f2v-l6-r001	N:M	low	39	37	100	114.78443332454823	147.63477340423015	147.4772919763311	-32.850340079681914	-32.692858651782856	yes	yes	0
all	ATOMS	f2v	6	f2v-l6-r002	1:1	medium	10	8	100	17.936036941268036	30.412939286119865	29.872984944319324	-12.47690234485183	-11.936948003051288	yes	yes	0
all	ATOMS	f2v	6	f2v-l6-r003	N:M	low	29	27	100	108	108	108	0	0	no	no	0
all	ATOMS	f2v	7	f2v-l7-r001	N:M	low	23	21	100	64.13708169920575	84.54064850259806	84.49114520238899	-20.40356680339231	-20.35406350318324	yes	yes	0
all	ATOMS	f2v	7	f2v-l7-r002	1:1	medium	13	11	100	36.91454207160002	42.58064133504658	42.54382183371902	-5.6660992634465615	-5.629279762119005	yes	yes	0
all	ATOMS	f2v	7	f2v-l7-r003	N:M	low	27	25	100	89.47050543293095	98.68221626575786	98.30010402904449	-9.21171083282691	-8.829598596113541	yes	yes	0
all	ATOMS	f2v	7	f2v-l7-r004	1:1	medium	10	8	100	23.747496261658377	32.37357199909337	32.00607590593358	-8.626075737434995	-8.258579644275201	yes	no	2
all	ATOMS	f2v	8	f2v-l8-r001	N:M	low	35	33	100	111.71919089243825	132.32449036886857	132.41805791164882	-20.605299476430318	-20.698867019210567	yes	yes	0
all	ATOMS	f2v	8	f2v-l8-r002	1:1	medium	12	10	100	34.07428866902179	39.6049989775631	39.14402899532583	-5.530710308541309	-5.069740326304043	yes	no	1
all	EVA	f2r	1	f2r-l1-r001	1:1	low-medium	7	5	100	21.3840274765531	21.239637567217926	21.31760811825889	0.1443899093351746	0.06641935829421186	no	no	54
all	EVA	f2r	1	f2r-l1-r002	N:M	low	17	15	100	53.76271144532609	64.07331478696325	63.48872321424976	-10.310603341637162	-9.72601176892367	yes	yes	0
all	EVA	f2r	1	f2r-l1-r003	N:M	low	15	13	100	47.0818245246064	55.76337626043292	55.62035975850579	-8.681551735826524	-8.538535233899395	yes	yes	0
all	EVA	f2r	2	f2r-l2-r001	1:1	medium	8	6	100	22.971992074177056	25.77634489933186	25.469736354143574	-2.8043528251548047	-2.4977442799665184	yes	no	4
all	EVA	f2r	2	f2r-l2-r002	N:1	low	5	3	100	10.841878797391995	12.743782540330756	12.143613319999483	-1.9019037429387602	-1.3017345226074877	yes	no	17
