scope	severity	score	reason	image_name	molecule_id	particle_id	source_index	row_hint	observed_sequence	dominant_sequence	bag_signature	variant_count	dominant_count	total	rare_ratio	atom_ids	particle_ids	anomaly_status	anomaly_note
particle-window	alta	132.04	ventana interna rara: 1/51 con mismo inventario aparece en orden raro; dominante 50/51; distancia 2	page-003.jpg	img3-m86	img3-m86-p1	329	y=1648	a:1 e:1 g:1	a:1 g:1 e:1	a:1 e:1 g:1	1	50	51	0.020	2430 2421 2422	img3-m86-p1	valid	img3-m86-p1 inspected manually; current atom order is valid despite rare local window.
particle-window	alta	132.04	ventana interna rara: 1/51 con mismo inventario aparece en orden raro; dominante 50/51; distancia 2	page-003.jpg	img3-m86	img3-m86-p1	329	y=1648	c:1 a:1 e:1 g:1	c:1 a:1 g:1 e:1	a:1 c:1 e:1 g:1	1	50	51	0.020	2429 2430 2421 2422	img3-m86-p1	valid	img3-m86-p1 inspected manually; current atom order is valid despite rare local window.
particle-window	media	89.56	ventana interna rara: 1/9 con mismo inventario aparece en orden raro; dominante 5/9; distancia 2	page-007.jpg	img7-m29	img7-m29-p3	97	y=940	b:1 c:2 a:1	b:1 a:1 c:2	a:1 b:1 c:2	1	5	9	0.111	7433 7187 7115	img7-m29-p3	valid	img7-m29-p3 full particle is a:1 c:2 b:1 c:2 a:1; local window is misleading inside repeated/symmetric particle.
