scope	severity	score	reason	image_name	molecule_id	particle_id	source_index	row_hint	observed_sequence	dominant_sequence	bag_signature	variant_count	dominant_count	total	rare_ratio	atom_ids	particle_ids	anomaly_status	anomaly_note
particle-window	alta	131.67	ventana interna rara: 1/43 con mismo inventario aparece en orden raro; dominante 42/43; distancia 2	page-003.jpg	img3-m85	img3-m85-p1	330	y=1648	a:1 e:1 g:1	a:1 g:1 e:1	a:1 e:1 g:1	1	42	43	0.023	2430 2421 2422	img3-m85-p1	known-anomaly	page-003 img3-m85-p1; current rare window a:1 e:1 g:1 vs dominant a:1 g:1 e:1.
particle-window	alta	131.67	ventana interna rara: 1/43 con mismo inventario aparece en orden raro; dominante 42/43; distancia 2	page-003.jpg	img3-m85	img3-m85-p1	330	y=1648	c:1 a:1 e:1 g:1	c:1 a:1 g:1 e:1	a:1 c:1 e:1 g:1	1	42	43	0.023	2429 2430 2421 2422	img3-m85-p1	known-anomaly	page-003 img3-m85-p1; current rare window c:1 a:1 e:1 g:1 vs dominant c:1 a:1 g:1 e:1.
