family	variant_count	token_count	merged_entropy	weighted_split_entropy	split_minus_merged	variants
h	2	369	0.9988	0.5231	-0.4757	h:1:n209:H0.7044 h:2:n160:H0.2864
c	2	676	0.7413	0.7376	-0.0037	c:1:n642:H0.7539 c:2:n34:H0.4306
