macro_signature	count	share	examples
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 j:1 d:1	1	0.0021	p094-u060
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 j:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p005-u057
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP	1	0.0021	p003-u172
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1 c:1 f:1 j:1	1	0.0021	p005-u058
e:1 c:1 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p005-u046
e:1 c:1 h:2 e:1 h:1	1	0.0021	p094-u058
e:1 c:1 h:2 e:1 l:1 f:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 h:1	1	0.0021	p003-u125
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 c:1	1	0.0021	p003-u182
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0021	p094-u081
e:1 c:1 h:2 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u134
e:1 c:1 h:2 f:1 j:1 e:1 f:1 e:1 h:1	1	0.0021	p094-u046
e:1 c:1 h:2 f:1 j:1 e:1 MEDIAL_OP d:1 n:1 e:1 MEDIAL_OP e:1 c:1	1	0.0021	p005-u059
e:1 c:1 h:2 f:1 MEDIAL_OP c:1 h:1 e:1 f:1	1	0.0021	p004-u027
e:1 c:1 h:2 n:1 e:1 c:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p094-u008
e:1 c:1 h:2 n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 h:1	1	0.0021	p094-u028
e:1 c:1 h:2 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u077
e:1 c:2 h:2 c:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2	1	0.0021	p094-u038
e:1 c:2 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u027
e:1 c:2 h:2 e:1 f:1 MEDIAL_OP e:1 h:1	1	0.0021	p094-u013
e:1 c:2 h:2 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p094-u069
e:1 c:2 h:2 e:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p094-u052
e:1 f:1 a:1 MEDIAL_OP c:1 a:1 e:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u078
e:1 f:1 f:1 MEDIAL_OP c:1 h:1	1	0.0021	p004-u007
e:1 f:1 l:1 f:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p005-u022
e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u016
e:1 h:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u004
e:1 h:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p005-u033
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p005-u064
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p005-u039
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u008
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 c:1	1	0.0021	p004-u008
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 j:1	1	0.0021	p003-u002
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u070
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u023
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p005-u067
e:1 h:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1	1	0.0021	p005-u002
e:1 h:1 e:1 a:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0021	p005-u101
e:1 h:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 f:1 f:1 n:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u042
e:1 h:1 e:1 c:1 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u155
e:1 h:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p005-u019
e:1 h:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u066
e:1 h:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 h:1	1	0.0021	p003-u174
e:1 h:1 e:1 MEDIAL_OP e:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u081
e:1 MEDIAL_OP c:2 e:1 h:1	1	0.0021	p094-u033
e:1 MEDIAL_OP d:1 c:1	1	0.0021	p005-u065
e:1 MEDIAL_OP d:1 c:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p004-u028
e:1 MEDIAL_OP d:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u038
e:1 MEDIAL_OP d:1 c:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p003-u010
e:1 MEDIAL_OP d:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u081
e:1 MEDIAL_OP d:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p003-u037
e:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 h:1	1	0.0021	p004-u088
e:1 MEDIAL_OP e:1 a:1 MEDIAL_OP c:1 a:1 c:1 e:1 c:1 h:2 e:1 c:1 h:2 e:1 h:1	1	0.0021	p005-u023
e:1 MEDIAL_OP e:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 MEDIAL_OP d:1	1	0.0021	p005-u010
e:1 MEDIAL_OP e:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u014
e:1 MEDIAL_OP e:1 c:1 a:1 c:1	1	0.0021	p003-u193
e:1 MEDIAL_OP e:1 c:1 a:1 c:2 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 a:1 MEDIAL_OP c:1 a:1 c:2 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p094-u056
e:1 MEDIAL_OP e:1 c:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 e:1 h:1	1	0.0021	p003-u195
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 c:1	1	0.0021	p004-u025
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1 e:1 c:1 h:2	1	0.0021	p005-u026
e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p004-u085
e:1 MEDIAL_OP e:1 c:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p003-u054
e:1 MEDIAL_OP e:1 c:1 e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u005
e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 c:1	1	0.0021	p004-u047
e:1 MEDIAL_OP e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u093
e:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p094-u068
e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p005-u047
e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p005-u072
e:1 MEDIAL_OP e:1 c:1 f:1 j:1 n:1 e:1 MEDIAL_OP e:1 c:1	1	0.0021	p094-u004
e:1 MEDIAL_OP e:1 e:1	1	0.0021	p094-u044
e:1 MEDIAL_OP e:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 h:1	1	0.0021	p005-u104
e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP a:1 c:2 e:1 h:1	1	0.0021	p094-u075
e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP c:1 a:1 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u120
e:1 MEDIAL_OP e:1 e:1 c:1 f:1 j:1	1	0.0021	p004-u054
e:1 MEDIAL_OP e:1 e:1 c:1 h:2 f:1 j:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p094-u079
e:1 MEDIAL_OP e:1 e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u038
e:1 MEDIAL_OP e:1 e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p094-u067
e:1 MEDIAL_OP e:1 e:1 h:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1 d:1 e:1 j:1 e:1 f:1 f:1 j:1	1	0.0021	p005-u099
f:1 j:1 c:1 f:1 j:1	1	0.0021	p004-u048
f:1 j:1 e:1 f:1	1	0.0021	p005-u028
MEDIAL_OP a:1 n:1 c:1 MEDIAL_OP a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p005-u071
n:1 c:1 MEDIAL_OP e:1 h:1 n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1	1	0.0021	p003-u044
n:1 c:2 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1	1	0.0021	p003-u149
n:1 c:2 MEDIAL_OP e:1 e:1 h:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP d:1 e:1 MEDIAL_OP c:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 j:1	1	0.0021	p003-u137
n:1 e:1 MEDIAL_OP c:1	1	0.0021	p005-u021
n:1 e:1 MEDIAL_OP e:1 a:1 e:1 MEDIAL_OP c:1 a:1 c:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u190
n:1 e:1 MEDIAL_OP e:1 c:1 a:1 MEDIAL_OP c:1 a:1	1	0.0021	p003-u140
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2	1	0.0021	p003-u024
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:1 h:2 e:1 f:1 f:1 MEDIAL_OP d:1 e:1 h:1	1	0.0021	p003-u049
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 c:2 h:2 e:1 f:1 l:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u079
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u167
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 h:1	1	0.0021	p003-u083
n:1 e:1 MEDIAL_OP e:1 c:1 e:1 MEDIAL_OP d:1	1	0.0021	p003-u060
n:1 e:1 MEDIAL_OP e:1 c:1 f:1 j:1 e:1 c:2 h:2 e:1 h:1	1	0.0021	p003-u009
n:1 e:1 MEDIAL_OP e:1 e:1	1	0.0021	p003-u128
n:1 e:1 MEDIAL_OP e:1 e:1 a:1 e:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u135
n:1 e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP c:1 a:1 e:1 h:1	1	0.0021	p003-u021
n:1 e:1 MEDIAL_OP e:1 e:1 a:1 MEDIAL_OP c:1 a:1 MEDIAL_OP e:1 e:1 e:1 h:1	1	0.0021	p003-u100
n:1 e:1 MEDIAL_OP e:1 e:1 c:1	1	0.0021	p003-u121
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 e:1 MEDIAL_OP d:1	1	0.0021	p094-u029
n:1 e:1 MEDIAL_OP e:1 e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u160
n:1 e:1 MEDIAL_OP e:1 e:1 f:1 f:1 MEDIAL_OP d:1	1	0.0021	p003-u015
n:1 e:1 MEDIAL_OP e:1 e:1 f:1 MEDIAL_OP f:1 MEDIAL_OP d:1	1	0.0021	p003-u148
n:1 e:1 MEDIAL_OP e:1 f:1 MEDIAL_OP d:1 c:1 e:1 h:1	1	0.0021	p003-u006
