image_name	ordinal	status	eva_page	eva_paragraph	eva_line	eva_token_count	physical_row	physical_unit_count	physical_y_min	physical_y_max	physical_first_unit	physical_last_unit	note
page-003.jpg	16	paired-by-ordinal	f1r	3	18	8	16	8	2033	2167	p003-u126	p003-u133	ordinal pair only; not visual proof of exact alignment
page-003.jpg	17	paired-by-ordinal	f1r	3	19	8	17	6	2117	2243	p003-u134	p003-u139	ordinal pair only; not visual proof of exact alignment
page-003.jpg	18	paired-by-ordinal	f1r	3	20	7	18	7	2208	2337	p003-u140	p003-u146	ordinal pair only; not visual proof of exact alignment
page-003.jpg	19	paired-by-ordinal	f1r	4	22	10	19	8	2350	2618	p003-u147	p003-u154	ordinal pair only; not visual proof of exact alignment
page-003.jpg	20	paired-by-ordinal	f1r	4	23	10	20	10	2568	2700	p003-u155	p003-u164	ordinal pair only; not visual proof of exact alignment
page-003.jpg	21	paired-by-ordinal	f1r	4	24	9	21	9	2649	2785	p003-u165	p003-u173	ordinal pair only; not visual proof of exact alignment
page-003.jpg	22	paired-by-ordinal	f1r	4	25	9	22	8	2730	2867	p003-u174	p003-u181	ordinal pair only; not visual proof of exact alignment
page-003.jpg	23	paired-by-ordinal	f1r	4	26	9	23	9	2822	2971	p003-u182	p003-u190	ordinal pair only; not visual proof of exact alignment
page-003.jpg	24	paired-by-ordinal	f1r	4	27	6	24	6	2913	3048	p003-u191	p003-u196	ordinal pair only; not visual proof of exact alignment
page-004.jpg	1	paired-by-ordinal	f1v	1	1	7	1	7	1808	2071	p004-u001	p004-u007	ordinal pair only; not visual proof of exact alignment
page-004.jpg	2	paired-by-ordinal	f1v	1	2	8	2	8	1935	2134	p004-u008	p004-u015	ordinal pair only; not visual proof of exact alignment
page-004.jpg	3	paired-by-ordinal	f1v	1	3	9	3	8	2014	2208	p004-u016	p004-u023	ordinal pair only; not visual proof of exact alignment
page-004.jpg	4	paired-by-ordinal	f1v	1	4	6	4	7	2084	2248	p004-u024	p004-u030	ordinal pair only; not visual proof of exact alignment
