scope	version	folios	units	atom_tokens	vocabulary	weighted_relative_positional_entropy	delta_from_v1
matched-three-folio	V1 frozen	f1r,f1v,f47v	364	3558	16	0.3365	0.0000
matched-three-folio	V2 audited	f1r,f1v,f47v	371	3621	16	0.3342	-0.0023
